dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,run_idx,rep,seed,status,error,raw_graph_path,true_graph_path,fact_total,fact_true,fact_false,fact_retained,fact_retained_true,fact_retained_false,fact_removed,fact_removed_true,fact_removed_false,fact_precision,fact_recall,fact_f1,aspcr_model_space,aspcr_encoding,aspcr_solver_objective,aspcr_recomputed_objective,aspcr_graph_is_dag,aspcr_n_directed,aspcr_n_bidirected,aspcr_n_tailtail,aspcr_testing_time,aspcr_encoding_time,aspcr_solving_time,aspcr_data_path,aspcr_directed_path,aspcr_bidirected_path,aspcr_tailtail_path,aspcr_constraints_path,aspcr_diagnostics_path,aspcr_time_path
er8,FGS,0.0827853679656982,10,0.7,0.1875,0.5833,0.2,0.125,0.1538,20.0,29,30,2055,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/er8/FGS/run_0029_seed_2055.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er8,FGS,0.0779726505279541,7,0.7143,0.125,0.4167,0.2857,0.125,0.1739,18.0,30,31,2056,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/er8/FGS/run_0030_seed_2056.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er8,FGS,0.0842518806457519,9,0.3333,0.375,0.25,0.4444,0.25,0.32,17.0,31,32,2057,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/er8/FGS/run_0031_seed_2057.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er8,FGS,0.0792460441589355,10,0.5,0.3125,0.4167,0.4,0.25,0.3077,16.0,32,33,2058,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/er8/FGS/run_0032_seed_2058.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er8,FGS,0.0835716724395752,11,0.6364,0.25,0.5833,0.2727,0.1875,0.2222,21.0,33,34,2059,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/er8/FGS/run_0033_seed_2059.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er8,FGS,0.088533878326416,10,0.6,0.25,0.5,0.3,0.1875,0.2308,19.0,34,35,2060,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/er8/FGS/run_0034_seed_2060.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er8,FGS,0.0868616104125976,9,0.5556,0.25,0.4167,0.0,0.0,0.0,19.0,35,36,2061,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/er8/FGS/run_0035_seed_2061.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er8,FGS,0.0822138786315918,8,0.625,0.1875,0.4167,0.125,0.0625,0.0833,20.0,36,37,2062,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/er8/FGS/run_0036_seed_2062.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er8,FGS,0.0835325717926025,9,0.4444,0.3125,0.3333,0.4444,0.25,0.32,17.0,37,38,2063,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/er8/FGS/run_0037_seed_2063.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er8,FGS,0.0789508819580078,6,0.6667,0.125,0.3333,0.1667,0.0625,0.0909,18.0,38,39,2064,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_alpha001_nowrong_noweight_50rep_fgs/er8/FGS/run_0038_seed_2064.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
