nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,dataset,seed,n_nodes,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,aba_elapsed,ranking_elapsed,num_edges_est,best_model,best_I
4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,cancer,2494,5,0.14286494255065918,1.2166292667388916,True,original,original,0.20050978660583496,0.07990312576293945,4,"frozenset({(1, 0), (2, 0), (3, 0), (0, 4)})",21.03855615470341
4,0.25,0.75,0.1667,0.75,0.75,0.75,1.0,5.0,cancer,2494,5,0.14286494255065918,1.2166292667388916,True,original,refined_indep_facts,0.20050978660583496,0.03650307655334473,4,"frozenset({(1, 0), (2, 0), (3, 0), (0, 4)})",2.4888851384940605
7,0.7143,0.5,0.8333,0.2857,0.5,0.3636,5.0,7.0,cancer,2494,5,0.14286494255065918,1.2166292667388916,True,original,arrows_sum,0.20050978660583496,0.0020771026611328125,7,"frozenset({(2, 4), (4, 0), (3, 4), (2, 0), (1, 4), (3, 0), (1, 0)})",3.517749117142935
4,0.5,0.5,0.3333,0.5,0.5,0.5,2.0,10.0,cancer,2494,5,0.14286494255065918,1.2166292667388916,True,original,arrows_mean,0.20050978660583496,0.00183868408203125,4,"frozenset({(1, 0), (4, 0), (2, 0), (3, 0)})",0.5029043786186049
1,1.0,0.0,0.1667,0.0,0.0,,4.0,11.0,cancer,2494,5,0.14286494255065918,1.2166292667388916,True,refined_indep_facts,original,0.019949674606323242,0.018042802810668945,1,"frozenset({(4, 0)})",-1.9953394480290942
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,2494,5,0.14286494255065918,1.2166292667388916,True,refined_indep_facts,refined_indep_facts,0.019949674606323242,0.008337974548339844,1,"frozenset({(3, 0)})",4.7225297686758845
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,2494,5,0.14286494255065918,1.2166292667388916,True,refined_indep_facts,arrows_sum,0.019949674606323242,0.0009062290191650391,1,"frozenset({(3, 0)})",0.5029047991367652
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,2494,5,0.14286494255065918,1.2166292667388916,True,refined_indep_facts,arrows_mean,0.019949674606323242,0.0005397796630859375,1,"frozenset({(3, 0)})",0.5029047991367652
3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,3.0,11.0,cancer,183,5,0.14286494255065918,1.2098314762115479,True,original,original,0.07660293579101562,0.021967172622680664,3,"frozenset({(1, 0), (4, 0), (3, 0)})",12.473888911317365
3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,3.0,11.0,cancer,183,5,0.14286494255065918,1.2098314762115479,True,original,refined_indep_facts,0.07660293579101562,0.0029931068420410156,3,"frozenset({(1, 0), (4, 0), (3, 0)})",2.772648385409905
4,0.75,0.25,0.5,0.25,0.25,0.25,4.0,10.0,cancer,183,5,0.14286494255065918,1.2098314762115479,True,original,arrows_sum,0.07660293579101562,0.0002951622009277344,4,"frozenset({(1, 0), (4, 0), (3, 1), (3, 0)})",2.001773358197992
3,0.6667,0.25,0.3333,0.3333,0.25,0.2857,3.0,11.0,cancer,183,5,0.14286494255065918,1.2098314762115479,True,original,arrows_mean,0.07660293579101562,0.0002777576446533203,3,"frozenset({(1, 0), (4, 0), (3, 0)})",0.5005584654393992
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,183,5,0.14286494255065918,1.2098314762115479,True,refined_indep_facts,original,0.018625736236572266,0.009075164794921875,1,"frozenset({(3, 0)})",3.3163089525239293
1,0.0,0.25,0.0,1.0,0.25,0.4,3.0,9.0,cancer,183,5,0.14286494255065918,1.2098314762115479,True,refined_indep_facts,refined_indep_facts,0.018625736236572266,0.00654292106628418,1,"frozenset({(3, 0)})",3.7979435628084386
