dataset,model,seed,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid
sachs,FGS,5303,0.15563106536865234,18,1.0,0.0,0.4737,0.0,0.0,,31.0,55.0
sachs,FGS,3942,0.15198874473571777,16,0.875,0.1176,0.3684,0.125,0.1176,0.1212,25.0,51.0
sachs,FGS,2778,0.17739272117614746,15,0.8667,0.1176,0.3421,0.1333,0.1176,0.125,24.0,47.0
sachs,FGS,2804,0.15407824516296387,17,0.8235,0.1765,0.3684,0.1765,0.1765,0.1765,23.0,49.0
sachs,FGS,2145,0.15657830238342285,15,0.8,0.1765,0.3158,0.2,0.1765,0.1875,22.0,43.0
sachs,FGS,150,0.14836597442626953,14,0.8571,0.1176,0.3158,0.1429,0.1176,0.129,22.0,53.0
sachs,FGS,8823,0.15219807624816895,16,0.8125,0.1765,0.3421,0.1875,0.1765,0.1818,23.0,43.0
sachs,FGS,4669,0.15308594703674316,17,0.8235,0.1765,0.3684,0.1765,0.1765,0.1765,24.0,43.0
sachs,FGS,6131,0.15847563743591309,13,0.8462,0.1176,0.2895,0.1538,0.1176,0.1333,23.0,45.0
sachs,FGS,2617,0.1904301643371582,16,0.875,0.1176,0.3684,0.125,0.1176,0.1212,24.0,52.0
sachs,FGS,7166,0.14452219009399414,14,0.8571,0.1176,0.3158,0.1429,0.1176,0.129,21.0,44.0
sachs,FGS,1428,0.1531999111175537,18,0.8333,0.1765,0.3947,0.1667,0.1765,0.1714,25.0,49.0
sachs,FGS,8328,0.15079712867736816,17,0.8824,0.1176,0.3947,0.1176,0.1176,0.1176,24.0,49.0
sachs,FGS,8289,0.14905714988708496,16,0.875,0.1176,0.3684,0.125,0.1176,0.1212,24.0,52.0
sachs,FGS,5978,0.14463376998901367,13,0.8462,0.1176,0.2895,0.1538,0.1176,0.1333,23.0,45.0
sachs,FGS,5511,0.14823126792907715,15,0.8667,0.1176,0.3421,0.1333,0.1176,0.125,23.0,52.0
sachs,FGS,5864,0.18114805221557617,17,0.8235,0.1765,0.3684,0.1765,0.1765,0.1765,25.0,47.0
sachs,FGS,606,0.15081071853637695,17,0.8824,0.1176,0.3947,0.1176,0.1176,0.1176,26.0,51.0
sachs,FGS,1933,0.15297460556030273,16,0.875,0.1176,0.3684,0.125,0.1176,0.1212,24.0,51.0
sachs,FGS,6071,0.14849305152893066,15,0.8,0.1765,0.3158,0.2,0.1765,0.1875,21.0,51.0
sachs,FGS,5504,0.15235304832458496,16,0.875,0.1176,0.3684,0.125,0.1176,0.1212,24.0,52.0
sachs,FGS,5163,0.15030622482299805,16,0.9375,0.0588,0.3947,0.0625,0.0588,0.0606,26.0,54.0
sachs,FGS,2406,0.14979028701782227,16,0.8125,0.1765,0.3421,0.1875,0.1765,0.1818,24.0,42.0
sachs,FGS,304,0.17997121810913086,15,0.8,0.1765,0.3158,0.2,0.1765,0.1875,22.0,49.0
sachs,FGS,3391,0.14553284645080566,14,0.8571,0.1176,0.3158,0.1429,0.1176,0.129,23.0,45.0
sachs,FGS,359,0.1510765552520752,16,0.8125,0.1765,0.3421,0.1875,0.1765,0.1818,24.0,42.0
