dataset,model,seed,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high
earthquake,FGS,150,0.10366678237915039,6,0.3333,1.0,0.3333,0.3333,0.5,0.4,4.0,0.0,14.0
earthquake,FGS,8823,0.10732102394104004,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,FGS,4669,0.1146998405456543,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,FGS,6131,0.10166239738464355,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,FGS,2617,0.10383820533752441,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,FGS,7166,0.10515403747558594,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,FGS,1428,0.10251569747924805,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,FGS,8328,0.10523676872253418,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,FGS,8289,0.11323285102844238,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,FGS,5978,0.10005998611450195,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,FGS,5511,0.10915946960449219,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,FGS,5864,0.10853385925292969,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,FGS,606,0.10421204566955566,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,FGS,1933,0.10550928115844727,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,FGS,6071,0.10471057891845703,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,FGS,5504,0.12102317810058594,6,0.3333,1.0,0.3333,0.3333,0.5,0.4,4.0,0.0,14.0
earthquake,FGS,5163,0.10253429412841797,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,FGS,2406,0.1036372184753418,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,FGS,304,0.10161614418029785,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,FGS,3391,0.11215686798095703,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,FGS,359,0.10458827018737793,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,FGS,9096,0.10380673408508301,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,FGS,3533,0.10259890556335449,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,FGS,4125,0.10506677627563477,5,0.2,1.0,0.1667,0.4,0.5,0.4444,3.0,5.0,15.0
earthquake,FGS,3094,0.10215234756469727,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
earthquake,FGS,6398,0.10106444358825684,4,0.0,1.0,0.0,0.5,0.5,0.5,2.0,5.0,15.0
survey,FGS,7816,0.10323596000671387,3,0.6667,0.1667,0.2222,0.3333,0.1667,0.2222,8.0,13.0,19.0
survey,FGS,3578,0.10092449188232422,2,0.0,0.3333,0.0,1.0,0.3333,0.5,5.0,11.0,24.0
survey,FGS,2656,0.12075614929199219,3,0.6667,0.1667,0.2222,0.3333,0.1667,0.2222,8.0,14.0,26.0
survey,FGS,2688,0.10685586929321289,5,0.8,0.1667,0.4444,0.2,0.1667,0.1818,9.0,19.0,25.0
survey,FGS,2494,0.0996408462524414,2,0.5,0.1667,0.1111,0.5,0.1667,0.25,7.0,14.0,20.0
survey,FGS,183,0.09909391403198242,2,0.5,0.1667,0.1111,0.5,0.1667,0.25,7.0,14.0,20.0
survey,FGS,7977,0.10197877883911133,3,0.6667,0.1667,0.2222,0.3333,0.1667,0.2222,8.0,13.0,19.0
survey,FGS,3199,0.11071300506591797,4,0.75,0.1667,0.3333,0.25,0.1667,0.2,9.0,19.0,25.0
survey,FGS,316,0.10320472717285156,3,0.6667,0.1667,0.2222,0.3333,0.1667,0.2222,8.0,13.0,19.0
survey,FGS,8266,0.10843944549560547,3,0.3333,0.3333,0.1111,0.6667,0.3333,0.4444,7.0,11.0,17.0
survey,FGS,1532,0.10522842407226562,4,0.75,0.1667,0.3333,0.25,0.1667,0.2,9.0,19.0,25.0
survey,FGS,1009,0.10338997840881348,4,0.25,0.5,0.1111,0.75,0.5,0.6,5.0,5.0,24.0
survey,FGS,2250,0.10392451286315918,4,0.5,0.3333,0.2222,0.5,0.3333,0.4,8.0,10.0,16.0
survey,FGS,4447,0.10257673263549805,3,0.3333,0.3333,0.1111,0.6667,0.3333,0.4444,7.0,11.0,17.0
survey,FGS,2415,0.10594868659973145,4,0.75,0.1667,0.3333,0.25,0.1667,0.2,9.0,19.0,25.0
survey,FGS,3595,0.11994385719299316,3,0.6667,0.1667,0.2222,0.3333,0.1667,0.2222,8.0,13.0,19.0
survey,FGS,4187,0.10274982452392578,3,0.6667,0.1667,0.2222,0.3333,0.1667,0.2222,8.0,14.0,26.0
survey,FGS,4135,0.10423970222473145,4,0.75,0.1667,0.3333,0.25,0.1667,0.2,9.0,19.0,25.0
survey,FGS,5174,0.10445261001586914,4,0.75,0.1667,0.3333,0.25,0.1667,0.2,9.0,19.0,25.0
survey,FGS,5303,0.1021265983581543,3,0.3333,0.3333,0.1111,0.6667,0.3333,0.4444,7.0,11.0,17.0
survey,FGS,3942,0.10452985763549805,4,0.5,0.3333,0.2222,0.5,0.3333,0.4,8.0,10.0,16.0
survey,FGS,2778,0.10234427452087402,3,0.6667,0.1667,0.2222,0.3333,0.1667,0.2222,8.0,13.0,19.0
survey,FGS,2804,0.10301399230957031,3,0.6667,0.1667,0.2222,0.3333,0.1667,0.2222,8.0,13.0,19.0
survey,FGS,2145,0.10169124603271484,3,0.6667,0.1667,0.2222,0.3333,0.1667,0.2222,8.0,13.0,19.0
survey,FGS,150,0.10031533241271973,2,0.5,0.1667,0.1111,0.5,0.1667,0.25,7.0,14.0,20.0
survey,FGS,8823,0.10494160652160645,4,0.5,0.3333,0.2222,0.5,0.3333,0.4,8.0,10.0,16.0
survey,FGS,4669,0.10346722602844238,3,0.6667,0.1667,0.2222,0.3333,0.1667,0.2222,8.0,13.0,19.0
survey,FGS,6131,0.12248730659484863,3,0.6667,0.1667,0.2222,0.3333,0.1667,0.2222,8.0,13.0,19.0
survey,FGS,2617,0.11187863349914551,3,0.6667,0.1667,0.2222,0.3333,0.1667,0.2222,8.0,13.0,25.0
survey,FGS,7166,0.10335206985473633,3,0.6667,0.1667,0.2222,0.3333,0.1667,0.2222,8.0,13.0,19.0
survey,FGS,1428,0.11788606643676758,3,0.6667,0.1667,0.2222,0.3333,0.1667,0.2222,8.0,14.0,26.0
survey,FGS,8328,0.10649847984313965,5,0.6,0.3333,0.3333,0.4,0.3333,0.3636,8.0,12.0,18.0
survey,FGS,8289,0.10420966148376465,4,0.75,0.1667,0.3333,0.25,0.1667,0.2,9.0,19.0,25.0
survey,FGS,5978,0.10179448127746582,3,0.6667,0.1667,0.2222,0.3333,0.1667,0.2222,8.0,13.0,19.0
survey,FGS,5511,0.10072588920593262,2,0.5,0.1667,0.1111,0.5,0.1667,0.25,7.0,14.0,20.0
survey,FGS,5864,0.1024787425994873,3,0.6667,0.1667,0.2222,0.3333,0.1667,0.2222,8.0,13.0,19.0
survey,FGS,606,0.1018974781036377,3,0.6667,0.1667,0.2222,0.3333,0.1667,0.2222,8.0,13.0,19.0
survey,FGS,1933,0.10762834548950195,4,0.5,0.3333,0.2222,0.5,0.3333,0.4,8.0,10.0,16.0
survey,FGS,6071,0.1029515266418457,4,0.75,0.1667,0.3333,0.25,0.1667,0.2,9.0,19.0,25.0
survey,FGS,5504,0.10217881202697754,3,0.6667,0.1667,0.2222,0.3333,0.1667,0.2222,8.0,13.0,19.0
survey,FGS,5163,0.12380385398864746,3,0.6667,0.1667,0.2222,0.3333,0.1667,0.2222,8.0,14.0,26.0
survey,FGS,2406,0.10414910316467285,4,0.5,0.3333,0.2222,0.5,0.3333,0.4,8.0,10.0,16.0
survey,FGS,304,0.10111045837402344,2,0.5,0.1667,0.1111,0.5,0.1667,0.25,7.0,14.0,20.0
survey,FGS,3391,0.10018372535705566,2,0.5,0.1667,0.1111,0.5,0.1667,0.25,7.0,14.0,20.0
