nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,n_nodes,n_edges,seed,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,aba_elapsed,ranking_elapsed,num_edges_est,best_model,best_I
1,0.0,0.3333,0.0,1.0,0.3333,0.5,2.0,3.0,3,3,8266,0.005568265914916992,0.023461580276489258,True,refined_indep_facts,refined_indep_facts,0.0076427459716796875,0.0029845237731933594,1,"frozenset({(0, 1)})",0.6643947513602256
1,1.0,0.0,1.0,0.0,0.0,,3.0,4.0,3,3,8266,0.005568265914916992,0.023461580276489258,True,refined_indep_facts,arrows_sum,0.0076427459716796875,0.0003752708435058594,1,"frozenset({(1, 0)})",0.5000009514959184
1,1.0,0.0,1.0,0.0,0.0,,3.0,4.0,3,3,8266,0.005568265914916992,0.023461580276489258,True,refined_indep_facts,arrows_mean,0.0076427459716796875,0.00035309791564941406,1,"frozenset({(1, 0)})",0.5000009514959184
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,4.0,3,3,1532,0.005568265914916992,0.017528057098388672,True,original,original,0.012538909912109375,0.004988193511962891,3,"frozenset({(0, 1), (0, 2), (2, 1)})",4.393446066366431
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,4.0,3,3,1532,0.005568265914916992,0.017528057098388672,True,original,refined_indep_facts,0.012538909912109375,0.0030689239501953125,3,"frozenset({(0, 1), (0, 2), (2, 1)})",0.0
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,4.0,3,3,1532,0.005568265914916992,0.017528057098388672,True,original,arrows_sum,0.012538909912109375,0.0004494190216064453,3,"frozenset({(0, 1), (0, 2), (2, 1)})",1.5
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,4.0,3,3,1532,0.005568265914916992,0.017528057098388672,True,original,arrows_mean,0.012538909912109375,0.0004100799560546875,3,"frozenset({(0, 1), (0, 2), (2, 1)})",0.5
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,3,3,1532,0.005568265914916992,0.017528057098388672,True,refined_indep_facts,original,0.008877754211425781,0.018091440200805664,3,"frozenset({(0, 1), (0, 2), (1, 2)})",4.393446066366431
2,0.5,0.3333,1.0,0.5,0.3333,0.4,2.0,4.0,3,3,1532,0.005568265914916992,0.017528057098388672,True,refined_indep_facts,refined_indep_facts,0.008877754211425781,0.012228012084960938,2,"frozenset({(1, 2), (2, 0)})",0.0
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,3,3,1532,0.005568265914916992,0.017528057098388672,True,refined_indep_facts,arrows_sum,0.008877754211425781,0.0012350082397460938,3,"frozenset({(0, 1), (0, 2), (1, 2)})",1.5
2,0.5,0.3333,1.0,0.5,0.3333,0.4,2.0,4.0,3,3,1532,0.005568265914916992,0.017528057098388672,True,refined_indep_facts,arrows_mean,0.008877754211425781,0.001477956771850586,2,"frozenset({(1, 2), (2, 0)})",0.5
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,3,3,1009,0.005568265914916992,0.019645214080810547,True,original,original,0.01190495491027832,0.004794120788574219,3,"frozenset({(0, 1), (0, 2), (2, 1)})",4.499983373608458
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,3,3,1009,0.005568265914916992,0.019645214080810547,True,original,refined_indep_facts,0.01190495491027832,0.00304412841796875,3,"frozenset({(0, 1), (0, 2), (2, 1)})",0.0
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,3,3,1009,0.005568265914916992,0.019645214080810547,True,original,arrows_sum,0.01190495491027832,0.00042176246643066406,3,"frozenset({(0, 1), (0, 2), (2, 1)})",1.5
3,0.6667,0.3333,2.0,0.3333,0.3333,0.3333,2.0,5.0,3,3,1009,0.005568265914916992,0.019645214080810547,True,original,arrows_mean,0.01190495491027832,0.0007510185241699219,3,"frozenset({(0, 1), (0, 2), (2, 1)})",0.5
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,4.0,3,3,1009,0.005568265914916992,0.019645214080810547,True,refined_indep_facts,original,0.008261919021606445,0.017517805099487305,3,"frozenset({(0, 1), (0, 2), (1, 2)})",4.499983373608458
2,0.5,0.3333,1.0,0.5,0.3333,0.4,2.0,3.0,3,3,1009,0.005568265914916992,0.019645214080810547,True,refined_indep_facts,refined_indep_facts,0.008261919021606445,0.011488914489746094,2,"frozenset({(1, 2), (2, 0)})",0.0
3,0.3333,0.6667,1.0,0.6667,0.6667,0.6667,1.0,4.0,3,3,1009,0.005568265914916992,0.019645214080810547,True,refined_indep_facts,arrows_sum,0.008261919021606445,0.0018889904022216797,3,"frozenset({(0, 1), (0, 2), (1, 2)})",1.5
2,0.5,0.3333,1.0,0.5,0.3333,0.4,2.0,3.0,3,3,1009,0.005568265914916992,0.019645214080810547,True,refined_indep_facts,arrows_mean,0.008261919021606445,0.0012302398681640625,2,"frozenset({(1, 2), (2, 0)})",0.5
3,1.0,0.0,3.0,0.0,0.0,,3.0,6.0,3,3,2250,0.005568265914916992,0.016925573348999023,True,original,original,0.049655914306640625,0.00782918930053711,3,"frozenset({(0, 1), (0, 2), (2, 1)})",4.499900023365157
3,1.0,0.0,3.0,0.0,0.0,,3.0,6.0,3,3,2250,0.005568265914916992,0.016925573348999023,True,original,refined_indep_facts,0.049655914306640625,0.003020048141479492,3,"frozenset({(0, 1), (0, 2), (2, 1)})",0.0
3,1.0,0.0,3.0,0.0,0.0,,3.0,6.0,3,3,2250,0.005568265914916992,0.016925573348999023,True,original,arrows_sum,0.049655914306640625,0.00041604042053222656,3,"frozenset({(0, 1), (0, 2), (2, 1)})",1.5
