dataset,num_nodes,num_edges,impl,seed,time,remove_n,dag_nnz,dag_fdr,dag_tpr,dag_fpr,dag_precision,dag_recall,dag_F1,dag_shd,dag_sid,cpdag_nnz,cpdag_fdr,cpdag_tpr,cpdag_fpr,cpdag_precision,cpdag_recall,cpdag_F1,cpdag_shd,cpdag_sid_low,cpdag_sid_high,AP,CIT_Precision,CIT_Recall,CIT_F1,prior_filename,prior_forbidden_length,prior_forbidden_Precision,prior_forbidden_Recall,prior_forbidden_F1,prior_required_length,prior_required_Precision,prior_required_Recall,prior_required_F1
survey,6,6,org,5864,0.1335593280382454,21,3,0.4666599999999999,0.26666,0.15554,0.53334,0.26666,0.4444249999999999,4.4,15.6,3,0,0.5,0,1,0.5,0.6667,5,10,24,0.8958437074197944,0.9230769230769232,0.6666666666666666,0.7741935483870968,survey,,,,,,,,
survey,6,6,org,606,0.2292442307807505,23,5,0.6,0.3333,0.3333,0.4,0.3333,0.3636,4,20,5,0.4,0.5,0.2222,0.6,0.5,0.5455,4,14,20,0.9438992273946508,0.9565217391304348,0.7857142857142857,0.8627450980392156,survey,,,,,,,,
survey,6,6,org,1933,0.2159216259606182,27,4,0.5833333333333334,0.2777666666666666,0.2592333333333333,0.4166666666666667,0.2777666666666666,0.3333333333333333,4.333333333333333,17.333333333333332,4,0.25,0.5,0.1111,0.75,0.5,0.6,5,17,18,0.929676743,1,0.5769230769230769,0.7317073170731707,survey,,,,,,,,
survey,6,6,org,6071,0.1624432220123708,23,4,0.5,0.333325,0.2222,0.5,0.333325,0.4,4,14.5,4,0.3125,0.458325,0.138875,0.6875,0.458325,0.55,4.75,9.75,19.5,0.9428764116996624,0.9411764705882352,0.7272727272727273,0.8205128205128205,survey,,,,,,,,
survey,6,6,org,5504,0.2222774992696941,31,4,0.65,0.23334,0.28886,0.35,0.23334,0.35,4.6,19.2,4,0,0.6667,0,1,0.6667,0.8,5,10,24,0.9468152888347264,0.9375,0.5357142857142857,0.6818181818181818,survey,,,,,,,,
survey,6,6,org,5163,0.239056937,33,5,0.4666666666666666,0.4444333333333333,0.2592333333333333,0.5333333333333333,0.4444333333333333,0.4848666666666667,3.333333333333333,16.333333333333332,5,0.2,0.6667,0.1111,0.8000000000000002,0.6667,0.7273,4,16,17,0.8891708619039266,0.9090909090909092,0.6060606060606061,0.7272727272727273,survey,,,,,,,,
survey,6,6,org,2406,0.2052768711000681,28,5,0.6,0.3333,0.3333,0.4,0.3333,0.3636,5,17,5,0.6,0.3333,0.3333,0.4,0.3333,0.3636,6,14,20,0.8867515051352899,0.9473684210526316,0.6666666666666666,0.782608696,survey,,,,,,,,
survey,6,6,org,304,0.2441223920322954,25,5,0.5,0.4166499999999999,0.27775,0.5,0.4166499999999999,0.45455,3.5,14.5,5,0.4,0.5,0.2222,0.6,0.5,0.5455,5,14,15,0.9580137044947076,0.9523809523809524,0.6666666666666666,0.7843137254901961,survey,,,,,,,,
survey,6,6,org,3391,0.247962347,36,4,0.55,0.3,0.24442,0.45,0.3,0.36,4.2,18.4,4,0.05,0.63336,0.02222,0.7,0.4666599999999999,0.56,5,15.2,27.8,0.9569916519335644,1,0.3243243243243243,0.489795918,survey,,,,,,,,
survey,6,6,org,359,0.348604814,45,6,0,1,0,1,1,1,0,0,6,0,1,0,1,1,1,0,0,7,0.9409496878324336,1,0.660377358,0.7954545454545454,survey,,,,,,,,
survey,6,6,org,9096,0.2027614531107247,29,4,0.25,0.5,0.1111,0.75,0.5,0.6,3,13,4,0.25,0.5,0.1111,0.75,0.5,0.6,3,13,13,0.906587081,1,0.6,0.7499999999999999,survey,,,,,,,,
survey,6,6,org,3533,0.2746962779201567,28,5,0.5,0.4166499999999999,0.27775,0.5,0.4166499999999999,0.45455,3.5,13,5,0.4,0.5,0.2222,0.6,0.5,0.5455,6,10,16,0.8978968777897136,0.9444444444444444,0.6071428571428571,0.7391304347826088,survey,,,,,,,,
survey,6,6,org,4125,0.34074224,36,5,0.4666666666666666,0.4444333333333333,0.2592333333333333,0.5333333333333333,0.4444333333333333,0.4848666666666667,3.333333333333333,16.333333333333332,5,0.2,0.6667,0.1111,0.8000000000000002,0.6667,0.7273,4,16,17,0.9578097250996818,1,0.6666666666666666,0.8,survey,,,,,,,,
survey,6,6,org,3094,0.2510262164287269,34,5,0.4666666666666666,0.4444333333333333,0.2592333333333333,0.5333333333333333,0.4444333333333333,0.4848666666666667,3.333333333333333,16.333333333333332,5,0.2,0.6667,0.1111,0.8000000000000002,0.6667,0.7273,4,16,17,0.9297156852439408,0.9523809523809524,0.5882352941176471,0.7272727272727274,survey,,,,,,,,
