dataset,num_nodes,num_edges,impl,seed,time,remove_n,dag_nnz,dag_fdr,dag_tpr,dag_fpr,dag_precision,dag_recall,dag_F1,dag_shd,dag_sid,cpdag_nnz,cpdag_fdr,cpdag_tpr,cpdag_fpr,cpdag_precision,cpdag_recall,cpdag_F1,cpdag_shd,cpdag_sid_low,cpdag_sid_high,AP,CIT_Precision,CIT_Recall,CIT_F1
dag_10_nodes_10_edges_degrees_random,10,10,org,8266,0.36892296513542533,58,5.0,0.2,0.4,0.028575,0.8,0.4,0.5333249999999999,6.0,23.5,5.0,0.0,0.5,0.0,0.8,0.4,0.5333,6.5,15.5,28.5,0.9120033324883832,1.0,0.022727272727272728,0.044444444444444446
dag_10_nodes_10_edges_degrees_random,10,10,org,1532,0.4499870087020099,70,6.0,0.25,0.45,0.04285,0.75,0.45,0.5625,6.5,17.0,6.0,0.1667,0.5,0.0286,0.8333,0.5,0.625,7.0,13.0,21.0,0.9363575748023583,1.0,0.13793103448275862,0.2424242424242424
dag_10_nodes_10_edges_degrees_random,10,10,org,1009,0.3422325639985502,56,6.0,0.3333,0.4,0.0571,0.6667,0.4,0.5,6.0,26.0,6.0,0.0,0.6,0.0,0.8333,0.5,0.625,7.0,13.0,33.0,0.9259592027041373,1.0,0.023255813953488372,0.04545454545454545
dag_10_nodes_10_edges_degrees_random,10,10,org,2250,0.36558857932686806,61,4.0,0.625,0.15000000000000002,0.07139999999999999,0.375,0.15000000000000002,0.2143,8.5,37.0,4.0,0.0,0.4,0.0,0.75,0.3,0.4286,9.0,15.0,41.0,0.9064076343263645,1.0,0.044444444444444446,0.0851063829787234
dag_10_nodes_10_edges_degrees_random,10,10,org,4447,0.49592448212206364,62,8.0,0.375,0.5,0.0857,0.625,0.5,0.5555800000000001,5.0,21.4,8.0,0.0,0.8,0.0,1.0,0.8,0.8888999999999999,4.0,8.0,24.0,0.9179388573250612,1.0,0.40540540540540543,0.5769230769230769
dag_10_nodes_10_edges_degrees_random,10,10,org,2415,0.18600464379414916,11,7.0,0.42855999999999994,0.4,0.0857,0.5714400000000001,0.4,0.47056,6.0,26.2,7.0,0.0,0.7,0.0,0.8571,0.6,0.7059,6.0,12.0,36.0,0.9482728467209454,0.8604651162790697,0.9024390243902439,0.8809523809523809
dag_10_nodes_10_edges_degrees_random,10,10,new,7816,0.323145872913301,47,6.0,0.11113333333333332,0.5333333333333333,0.019066666666666666,0.8888666666666666,0.5333333333333333,0.6666666666666666,4.666666666666667,14.666666666666666,6.0,0.0,0.6,0.0,1.0,0.6,0.75,5.0,10.0,18.0,0.8802745758086004,1.0,0.391304347826087,0.5625
dag_10_nodes_10_edges_degrees_random,10,10,new,3578,0.28649422200396657,45,5.4,0.24666000000000002,0.4,0.04,0.75334,0.4,0.52166,6.0,20.8,5.4,0.0,0.54,0.0,0.81332,0.44000000000000006,0.56998,7.0,13.6,31.2,0.870948769026153,0.9285714285714286,0.30952380952380953,0.46428571428571436
dag_10_nodes_10_edges_degrees_random,10,10,new,2656,0.3638709578663111,65,5.0,0.0,0.5,0.0,1.0,0.5,0.6667,5.0,14.0,5.0,0.0,0.5,0.0,0.8,0.4,0.5333,7.0,14.0,30.0,0.8996782043560105,1.0,0.07692307692307693,0.14285714285714288
dag_10_nodes_10_edges_degrees_random,10,10,new,2688,0.3021081113256514,48,6.0,0.26666,0.43999999999999995,0.0457,0.73334,0.43999999999999995,0.55,5.6,20.6,6.0,0.0,0.6,0.0,0.8333,0.5,0.625,7.0,13.0,33.0,0.851708330923549,0.9411764705882353,0.3404255319148936,0.5
dag_10_nodes_10_edges_degrees_random,10,10,new,2494,0.32574209896847606,48,7.0,0.07145,0.6499999999999999,0.0143,0.92855,0.6499999999999999,0.7646999999999999,3.5,16.0,7.0,0.0,0.7,0.0,0.8571,0.6,0.7059,4.0,12.0,32.0,0.909287425523263,1.0,0.2916666666666667,0.45161290322580644
