dataset,dataset_label,method,n_reps,total_facts_mean,total_facts_std,total_facts_n,wrong_facts_mean,wrong_facts_std,wrong_facts_n,accepted_facts_mean,accepted_facts_std,accepted_facts_n,accepted_wrong_facts_mean,accepted_wrong_facts_std,accepted_wrong_facts_n,removed_wrong_facts_mean,removed_wrong_facts_std,removed_wrong_facts_n,fact_precision_mean,fact_precision_std,fact_precision_n,fact_recall_mean,fact_recall_std,fact_recall_n,fact_f1_mean,fact_f1_std,fact_f1_n
asia,Asia (8),ABA-PC,50,142.24,10.274914965634528,50,13.06,3.0600120047783723,50,108.2,8.914560435327255,50,2.4,0.9258200997725514,50,10.66,3.179077006340818,50,0.9778231999946131,0.007904909134698915,50,0.8191464415154514,0.031893432205834175,50,0.8910827895828203,0.017617763360841757,50
asia,Asia (8),OptABA-PC,50,138.84,22.1574698327168,50,12.84,3.564908333824508,50,129.82,20.425764042862482,50,5.34,3.159759742868603,50,7.5,2.5734119335216885,50,0.9586464473881326,0.022869350982972735,49,0.9878530154859626,0.009104914107315185,49,0.972940245884799,0.014995918282288846,49
er5,ER (5),Raw PC facts,50,70.3,9.431276668184257,50,0.06,0.3136356914300021,50,70.3,9.431276668184257,50,0.06,0.3136356914300021,50,0.0,0.0,50,0.9989079939668176,0.005915963498541973,50,1.0,0.0,50,0.9994449612403102,0.003012521966310187,50
er5,ER (5),ABA-PC,50,70.3,9.431276668184257,50,0.06,0.3136356914300021,50,70.3,9.431276668184257,50,0.06,0.3136356914300021,50,0.0,0.0,50,0.9989079939668176,0.005915963498541973,50,1.0,0.0,50,0.9994449612403102,0.003012521966310187,50
er5,ER (5),OptABA-PC,50,70.3,9.431276668184257,50,0.06,0.3136356914300021,50,70.3,9.431276668184257,50,0.06,0.3136356914300021,50,0.0,0.0,50,0.9989079939668176,0.005915963498541973,50,1.0,0.0,50,0.9994449612403102,0.003012521966310187,50
er8,ER (8),Raw PC facts,50,322.18,95.89081588676035,50,29.4,16.328265213976625,50,322.18,95.89081588676035,50,29.4,16.328265213976625,50,0.0,0.0,50,0.9017184570637724,0.05826784290773434,50,1.0,0.0,50,0.9473315717002992,0.032929172137012686,50
er8,ER (8),ABA-PC,50,322.18,95.89081588676035,50,29.4,16.328265213976625,50,282.98,97.22926619121236,50,2.2,1.958758457257441,50,27.2,16.345753989014632,50,0.9913601037315519,0.008697059078810219,50,0.9559630111896041,0.024675309808821766,50,0.9732010426331408,0.014918483713322857,50
er8,ER (8),OptABA-PC,50,322.18,95.89081588676035,50,29.4,16.328265213976625,50,302.62,96.15758537156492,50,13.1,10.083832280903316,50,16.3,9.433440301309345,50,0.9520777396284973,0.03699885073157823,50,0.9875202853301148,0.012626158515879955,50,0.9692264816230014,0.023823721084644846,50
sf5,SF (5),Raw PC facts,50,51.78,5.898079936621367,50,1.44,2.3832750575625967,50,51.78,5.898079936621367,50,1.44,2.3832750575625967,50,0.0,0.0,50,0.9681252022003126,0.058269090160187796,50,1.0,0.0,50,0.982856877084439,0.03269116207156237,50
sf5,SF (5),ABA-PC,50,51.78,5.898079936621367,50,1.44,2.3832750575625967,50,50.86,7.3067204178965355,50,0.68,0.9570362413968129,50,0.76,2.0360024858651276,50,0.984468176995036,0.025031861946086562,50,0.9953258841998337,0.016423153195962572,50,0.9897101216178033,0.01756813358157066,50
sf5,SF (5),OptABA-PC,50,51.78,5.898079936621367,50,1.44,2.3832750575625967,50,51.3,6.4309519401985,50,1.1,1.821078397711709,50,0.34,1.0806271799472826,50,0.9744983103643006,0.04965121434576856,50,0.9962462674104011,0.012552472349571147,50,0.984782167400349,0.03205971050555696,50
sf8,SF (8),Raw PC facts,50,220.86,81.4776819323011,50,28.96,17.709630724782585,50,220.86,81.4776819323011,50,28.96,17.709630724782585,50,0.0,0.0,50,0.8620384825192765,0.07484312300732623,50,1.0,0.0,50,0.9241610446084867,0.04443075491761754,50
sf8,SF (8),ABA-PC,50,220.86,81.4776819323011,50,28.96,17.709630724782585,50,182.84,75.06768646375355,50,2.58,1.8961830618591742,50,26.38,17.401489497588816,50,0.9824943725879653,0.014666780719468588,50,0.932409467560877,0.040441481022852215,50,0.9563562528031617,0.023698655626226868,50
sf8,SF (8),OptABA-PC,50,220.86,81.4776819323011,50,28.96,17.709630724782585,50,204.72,77.63810341604704,50,16.38,13.48451871213649,50,12.58,8.680473042691737,50,0.9125545641353152,0.06596936618823603,50,0.979707237560671,0.024072154641947056,50,0.9442488262389453,0.046001787060121514,50
