dataset,dataset_label,metric,metric_label,higher_better,subject,comparator,n,subject_mean,comparator_mean,delta_mean,delta_std,subject_better_n,t,p,p_bh,sig_bh,subject_significantly_better
sf5,SF (5),cpdag_f1_avg,$\Delta$ CPDAG F1 avg,True,OptABA-PC,MPC,50,0.6629761161913946,0.8593139999999999,-0.1963378838086054,0.1736685743181985,4,-7.132904364682223,1.7696811764818318e-10,9.438299607903103e-10,***,False
sf5,SF (5),cpdag_f1_best,$\Delta$ CPDAG F1 best,True,OptABA-PC,MPC,50,0.8376680000000001,0.8593139999999999,-0.021646000000000002,0.15784519826819735,8,-0.8398840380964406,0.4030194714506199,0.43717366394643514,ns,False
sf5,SF (5),dag_shd_avg,$\Delta$ DAG SHD avg,False,OptABA-PC,MPC,50,3.842324414930979,1.68,2.162324414930979,2.099143967830819,10,8.424568819345659,4.234023492921552e-13,2.7097750354697936e-12,***,False
sf5,SF (5),dag_shd_best,$\Delta$ DAG SHD best,False,OptABA-PC,MPC,50,0.74,1.68,-0.94,1.3000784905661091,34,-4.466795055128019,2.177227583490514e-05,5.80594022264137e-05,***,True
sf5,SF (5),dag_f1_avg,$\Delta$ DAG F1 avg,True,OptABA-PC,MPC,50,0.5799223447099513,0.8434999999999999,-0.2635776552900487,0.2086030833765789,8,-9.89096017384339,2.3340425983152867e-16,2.1339818041739763e-15,***,False
sf5,SF (5),dag_f1_best,$\Delta$ DAG F1 best,True,OptABA-PC,MPC,50,0.9173253872684972,0.8434999999999999,0.07382538726849731,0.15255800759461857,36,3.0926131423900642,0.0025926145792058435,0.004659594606339052,**,True
sf8,SF (8),cpdag_shd_avg,$\Delta$ CPDAG SHD avg,False,OptABA-PC,MPC,50,7.962188407987642,4.94,3.0221884079876418,3.738910982514172,9,5.942834988243163,6.322447266603589e-08,2.6975775004175316e-07,***,False
sf8,SF (8),cpdag_shd_best,$\Delta$ CPDAG SHD best,False,OptABA-PC,MPC,50,5.7,4.94,0.76,3.6564731529668513,21,1.4124579642258028,0.1617244102241041,0.21302484536966715,ns,False
sf8,SF (8),cpdag_f1_avg,$\Delta$ CPDAG F1 avg,True,OptABA-PC,MPC,50,0.6460305631921915,0.725762,-0.07973143680780842,0.16519959465212658,15,-3.463909081121604,0.0007910874206018758,0.0016332127393070984,**,False
sf8,SF (8),cpdag_f1_best,$\Delta$ CPDAG F1 best,True,OptABA-PC,MPC,50,0.734782,0.725762,0.009020000000000005,0.16085630550403723,24,0.3744199428361886,0.7089070385703777,0.7437713191558062,ns,False
sf8,SF (8),dag_shd_avg,$\Delta$ DAG SHD avg,False,OptABA-PC,MPC,50,7.678585219846372,5.4,2.2785852198463723,3.6638418385668134,14,5.007488933672807,2.8326113080688834e-06,9.064356185820427e-06,***,False
sf8,SF (8),dag_shd_best,$\Delta$ DAG SHD best,False,OptABA-PC,MPC,50,4.88,5.4,-0.52,3.418079183711584,28,-1.1360807854735493,0.2590378955299123,0.3014259147984434,ns,False
sf8,SF (8),dag_f1_avg,$\Delta$ DAG F1 avg,True,OptABA-PC,MPC,50,0.6130001821610435,0.707504,-0.09450381783895664,0.20175941154694446,16,-3.688274132314411,0.0003707385745224159,0.0007909089589811538,***,False
sf8,SF (8),dag_f1_best,$\Delta$ DAG F1 best,True,OptABA-PC,MPC,50,0.7524388387879049,0.707504,0.044934838787904885,0.2004164027436132,31,1.687625939183136,0.09467640574664493,0.13172369495185382,ns,False
