dataset,num_nodes,num_edges,impl,run_id,time,remove_n,dag_nnz,dag_fdr,dag_tpr,dag_fpr,dag_precision,dag_recall,dag_F1,dag_shd,dag_sid,cpdag_nnz,cpdag_fdr,cpdag_tpr,cpdag_fpr,cpdag_precision,cpdag_recall,cpdag_F1,cpdag_shd,cpdag_sid_low,cpdag_sid_high
survey,6,6,org,24,1.5744261909276247,11,5,0.4,0.5,0.2222,0.6,0.5,0.5455,4.0,13.0,5,0.2,0.6667,0.1111,0.8,0.6667,0.7273,4.0,12.0,18.0
survey,6,6,org,25,1.9722471790155396,9,6,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,3.0,10.0,6,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,3.0,10.0,16.0
survey,6,6,org,26,4.535700528998859,45,6,0.6667,0.3333,0.4444,0.3333,0.3333,0.3333,6.0,21.0,6,0.5,0.5,0.3333,0.5,0.5,0.5,6.0,15.0,21.0
survey,6,6,org,27,2.000681529985741,28,6,0.5,0.5,0.3333,0.5,0.5,0.5,4.0,17.0,6,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,5.0,11.0,17.0
survey,6,6,org,28,2.0390927570406348,23,6,0.5,0.5,0.3333,0.5,0.5,0.5,4.0,11.0,6,0.5,0.5,0.3333,0.5,0.5,0.5,4.0,11.0,11.0
survey,6,6,org,29,2.028275685966946,24,5,0.8,0.1667,0.4444,0.2,0.1667,0.1818,5.0,19.0,5,0.4,0.5,0.2222,0.6,0.5,0.5455,5.0,18.0,19.0
survey,6,6,org,30,0.9461205719271675,15,6,0.6667,0.3333,0.4444,0.3333,0.3333,0.3333,6.0,13.0,6,0.6667,0.3333,0.4444,0.3333,0.3333,0.3333,6.0,13.0,13.0
survey,6,6,org,31,4.6897939869668335,30,6,0.5,0.5,0.3333,0.5,0.5,0.5,4.0,14.0,6,0.5,0.5,0.3333,0.5,0.5,0.5,5.0,14.0,14.0
survey,6,6,org,32,2.1743102489272133,21,6,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,3.0,7.0,6,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,4.0,7.0,14.0
survey,6,6,org,33,2.2819410240044817,23,6,0.5,0.5,0.3333,0.5,0.5,0.5,4.0,15.0,6,0.5,0.5,0.3333,0.5,0.5,0.5,5.0,15.0,16.0
survey,6,6,org,34,6.946501257945783,34,7,0.8571,0.1667,0.6667,0.1429,0.1667,0.1538,7.0,22.0,7,0.7143,0.3333,0.5556,0.2857,0.3333,0.3077,7.0,21.0,22.0
survey,6,6,org,35,0.7931722659850493,13,5,0.6,0.3333,0.3333,0.4,0.3333,0.3636,6.0,17.0,5,0.6,0.3333,0.3333,0.4,0.3333,0.3636,6.0,17.0,17.0
survey,6,6,org,36,4.1569792630616575,23,7,0.5714,0.5,0.4444,0.4286,0.5,0.4615,5.0,23.0,7,0.2857,0.8333,0.2222,0.5714,0.6667,0.6154,5.0,5.0,24.0
survey,6,6,org,37,2.003043152973987,20,5,0.2,0.6667,0.1111,0.8,0.6667,0.7273,2.0,8.0,5,0.2,0.6667,0.1111,0.8,0.6667,0.7273,2.0,8.0,14.0
survey,6,6,org,38,3.3845232599414885,23,5,0.6,0.3333,0.3333,0.4,0.3333,0.3636,5.0,14.0,5,0.6,0.3333,0.3333,0.4,0.3333,0.3636,6.0,14.0,20.0
survey,6,6,org,39,3.3143636760069057,25,5,0.8,0.1667,0.4444,0.2,0.1667,0.1818,5.0,28.0,5,0.0,0.8333,0.0,0.8,0.6667,0.7273,5.0,15.0,29.0
survey,6,6,org,40,5.204834909061901,33,5,0.6,0.3333,0.3333,0.4,0.3333,0.3636,4.0,17.0,5,0.2,0.6667,0.1111,0.8,0.6667,0.7273,4.0,16.0,17.0
survey,6,6,org,41,3.7203194020548835,28,5,0.6,0.3333,0.3333,0.4,0.3333,0.3636,5.0,14.0,5,0.6,0.3333,0.3333,0.4,0.3333,0.3636,6.0,14.0,20.0
survey,6,6,org,42,4.134692750987597,23,5,0.4,0.5,0.2222,0.6,0.5,0.5455,4.0,11.0,5,0.4,0.5,0.2222,0.6,0.5,0.5455,4.0,11.0,17.0
survey,6,6,org,43,1.950910649029538,13,7,0.4286,0.6667,0.3333,0.5714,0.6667,0.6154,4.0,13.0,7,0.4286,0.6667,0.3333,0.5714,0.6667,0.6154,4.0,13.0,13.0
survey,6,6,org,44,5.099490394932218,42,7,0.5714,0.5,0.4444,0.4286,0.5,0.4615,6.0,14.0,7,0.5714,0.5,0.4444,0.4286,0.5,0.4615,6.0,9.0,22.0
survey,6,6,org,45,1.7319577790331095,24,6,0.6667,0.3333,0.4444,0.3333,0.3333,0.3333,5.0,17.0,6,0.6667,0.3333,0.4444,0.3333,0.3333,0.3333,6.0,17.0,18.0
survey,6,6,org,46,2.8800929449498653,23,5,0.6,0.3333,0.3333,0.4,0.3333,0.3636,6.0,17.0,5,0.4,0.5,0.2222,0.6,0.5,0.5455,6.0,5.0,18.0
survey,6,6,org,47,4.538980170036666,34,8,0.625,0.5,0.5556,0.375,0.5,0.4286,6.0,14.0,8,0.5,0.6667,0.4444,0.5,0.6667,0.5714,6.0,8.0,22.0
survey,6,6,org,48,4.660870586987585,26,8,0.5,0.6667,0.4444,0.5,0.6667,0.5714,4.0,9.0,8,0.5,0.6667,0.4444,0.375,0.5,0.4286,8.0,9.0,20.0
survey,6,6,org,49,0.880619676085189,18,5,0.6,0.3333,0.3333,0.4,0.3333,0.3636,4.0,18.0,5,0.4,0.5,0.2222,0.6,0.5,0.5455,5.0,18.0,19.0
survey,6,6,new,0,1.8465398160042241,22,5,0.4,0.5,0.2222,0.6,0.5,0.5455,4.0,14.0,5,0.4,0.5,0.2222,0.6,0.5,0.5455,4.0,14.0,14.0
survey,6,6,new,1,2.955234466935508,32,9,0.5556,0.6667,0.5556,0.4444,0.6667,0.5333,5.0,13.0,9,0.5556,0.6667,0.5556,0.4444,0.6667,0.5333,7.0,7.0,13.0
survey,6,6,new,2,2.127618353930302,24,6,0.5,0.5,0.3333,0.5,0.5,0.5,4.0,15.0,6,0.5,0.5,0.3333,0.5,0.5,0.5,5.0,15.0,16.0
survey,6,6,new,3,1.8057844099821523,16,5,0.6,0.3333,0.3333,0.4,0.3333,0.3636,5.0,14.0,5,0.4,0.5,0.2222,0.6,0.5,0.5455,6.0,7.0,21.0
survey,6,6,new,4,3.8484871110413224,42,7,0.5714,0.5,0.4444,0.4286,0.5,0.4615,6.0,14.0,7,0.5714,0.5,0.4444,0.4286,0.5,0.4615,6.0,8.0,26.0
survey,6,6,new,5,0.9959945150185376,26,6,0.6667,0.3333,0.4444,0.3333,0.3333,0.3333,5.0,16.0,6,0.5,0.5,0.3333,0.5,0.5,0.5,5.0,15.0,16.0
survey,6,6,new,6,3.137625045957975,39,6,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,2.0,9.0,6,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,2.0,9.0,9.0
survey,6,6,new,7,2.1126398529158905,21,5,0.2,0.6667,0.1111,0.8,0.6667,0.7273,2.0,12.0,5,0.2,0.6667,0.1111,0.8,0.6667,0.7273,2.0,12.0,12.0
survey,6,6,new,8,2.5906717989128083,33,5,0.4,0.5,0.2222,0.6,0.5,0.5455,3.0,16.0,5,0.2,0.6667,0.1111,0.8,0.6667,0.7273,4.0,16.0,17.0
survey,6,6,new,9,2.3318020260194317,24,7,0.7143,0.3333,0.5556,0.2857,0.3333,0.3077,7.0,17.0,7,0.4286,0.6667,0.3333,0.5714,0.6667,0.6154,7.0,4.0,17.0
survey,6,6,new,10,4.194561165990308,41,8,0.625,0.5,0.5556,0.375,0.5,0.4286,6.0,19.0,8,0.5,0.6667,0.4444,0.5,0.6667,0.5714,7.0,12.0,29.0
survey,6,6,new,11,2.196612671017647,26,5,0.8,0.1667,0.4444,0.2,0.1667,0.1818,7.0,24.0,5,0.6,0.3333,0.3333,0.4,0.3333,0.3636,7.0,18.0,24.0
survey,6,6,new,12,1.1286456199595705,11,6,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,4.0,12.0,6,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,4.0,12.0,18.0
survey,6,6,new,13,2.5462471359642223,39,6,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,2.0,9.0,6,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,2.0,9.0,9.0
survey,6,6,new,14,1.5800360180437565,24,6,0.6667,0.3333,0.4444,0.3333,0.3333,0.3333,4.0,23.0,6,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,5.0,17.0,24.0
survey,6,6,new,15,2.070464166929014,28,5,0.4,0.5,0.2222,0.6,0.5,0.5455,3.0,14.0,5,0.4,0.5,0.2222,0.6,0.5,0.5455,3.0,14.0,14.0
survey,6,6,new,16,2.151871580979787,31,6,0.1667,0.8333,0.1111,0.8333,0.8333,0.8333,1.0,7.0,6,0.1667,0.8333,0.1111,0.8333,0.8333,0.8333,1.0,7.0,13.0
survey,6,6,new,17,1.5300146519439295,18,6,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,3.0,11.0,6,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,3.0,11.0,17.0
survey,6,6,new,18,3.521175801055506,35,6,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,4.0,13.0,6,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,4.0,13.0,13.0
survey,6,6,new,19,3.265013456926681,26,6,0.5,0.5,0.3333,0.5,0.5,0.5,4.0,17.0,6,0.5,0.5,0.3333,0.5,0.5,0.5,5.0,17.0,24.0
survey,6,6,new,20,1.2905031009577215,22,7,0.8571,0.1667,0.6667,0.1429,0.1667,0.1538,6.0,23.0,7,0.4286,0.6667,0.3333,0.5714,0.6667,0.6154,6.0,11.0,23.0
survey,6,6,new,21,1.1543510750634596,18,5,0.6,0.3333,0.3333,0.4,0.3333,0.3636,4.0,18.0,5,0.4,0.5,0.2222,0.6,0.5,0.5455,5.0,18.0,19.0
survey,6,6,new,22,1.7787105770548806,26,5,0.6,0.3333,0.3333,0.4,0.3333,0.3636,6.0,17.0,5,0.6,0.3333,0.3333,0.4,0.3333,0.3636,6.0,11.0,23.0
