nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid,dataset,seed,n_nodes,n_edges,neighbourhood_n_nodes,max_cycle_length,max_ct_depth,max_path_length,max_c_set_size,search_depth,elapsed_bsaf_creation,elapsed_model_solution,is_converged,fact_ranking_method,model_ranking_method,num_edges_est,best_model,aba_elapsed,ranking_elapsed,best_I
4,0.75,0.25,1.5,0.25,0.25,0.25,3.0,8.0,random_graphs_n4_e4,3199,4,4,4,4,1,3,2,12,0.011732816696166992,0.05127120018005371,True,v2,original_ranking,4,"[(1, 3), (0, 3), (0, 1), (1, 2)]",0.004706621170043945,0.6173319816589355,12.503303624317644
3,0.0,0.75,0.0,1.0,0.75,0.8571,1.0,3.0,random_graphs_n4_e4,316,4,4,4,4,1,3,2,12,0.011732816696166992,0.05571937561035156,True,v2,original_ranking,3,"[(2, 0), (1, 0), (0, 3)]",0.004438877105712891,0.5666964054107666,13.487712439554517
4,0.25,0.75,0.5,0.75,0.75,0.75,1.0,5.0,random_graphs_n4_e4,8266,4,4,4,4,1,3,2,12,0.011732816696166992,0.04570722579956055,True,v2,original_ranking,4,"[(3, 1), (2, 3), (0, 2), (0, 1)]",0.004508256912231445,0.5624029636383057,11.652713715076738
4,0.5,0.5,1.0,0.5,0.5,0.5,2.0,9.0,random_graphs_n4_e4,1532,4,4,4,4,1,3,2,12,0.011732816696166992,0.05140089988708496,True,v2,original_ranking,4,"[(2, 3), (1, 3), (1, 2), (2, 0)]",0.004722118377685547,0.6140789985656738,12.611017950008286
3,0.3333,0.5,0.5,0.6667,0.5,0.5714,2.0,5.0,random_graphs_n4_e4,1009,4,4,4,4,1,3,2,12,0.011732816696166992,0.05299711227416992,True,v2,original_ranking,3,"[(3, 0), (2, 0), (2, 1)]",0.0038115978240966797,0.5110762119293213,11.515174811683703
2,0.5,0.25,0.5,0.5,0.25,0.3333,3.0,8.0,random_graphs_n4_e4,2250,4,4,4,4,1,3,2,12,0.011732816696166992,0.05585885047912598,True,v2,original_ranking,2,"[(0, 2), (0, 3)]",0.002672910690307617,0.3722562789916992,6.339267756370188
3,0.3333,0.5,0.5,0.6667,0.5,0.5714,2.0,7.0,random_graphs_n4_e4,4447,4,4,4,4,1,3,2,12,0.011732816696166992,0.05520439147949219,True,v2,original_ranking,3,"[(0, 2), (3, 1), (3, 2)]",0.003805398941040039,0.5127179622650146,11.965941817067757
2,0.5,0.25,0.5,0.5,0.25,0.3333,3.0,5.0,random_graphs_n4_e4,2415,4,4,4,4,1,3,2,12,0.011732816696166992,0.054965972900390625,True,v2,original_ranking,2,"[(3, 0), (1, 0)]",0.002651691436767578,0.36966729164123535,4.858850838801554
4,0.25,0.75,0.5,0.75,0.75,0.75,1.0,3.0,random_graphs_n4_e4,3595,4,4,4,4,1,3,2,12,0.011732816696166992,0.05151820182800293,True,v2,original_ranking,4,"[(2, 3), (0, 3), (0, 2), (2, 1)]",0.0047800540924072266,0.6210978031158447,13.791410816506637
4,0.25,0.75,0.5,0.75,0.75,0.75,2.0,1.0,random_graphs_n4_e4,4187,4,4,4,4,1,3,2,12,0.011732816696166992,0.052072763442993164,True,v2,original_ranking,4,"[(3, 0), (0, 2), (1, 2), (1, 0)]",0.003570079803466797,0.4967007637023926,9.856611445095293
4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,random_graphs_n4_e4,4135,4,4,4,4,1,3,2,12,0.011732816696166992,0.051244497299194336,True,v2,original_ranking,4,"[(2, 3), (1, 3), (0, 3), (0, 1)]",0.004647254943847656,0.7107586860656738,12.205493214832329
3,0.6667,0.25,1.0,0.3333,0.25,0.2857,3.0,10.0,random_graphs_n4_e4,5174,4,4,4,4,1,3,2,12,0.011732816696166992,0.05108332633972168,True,v2,original_ranking,3,"[(2, 3), (1, 3), (1, 2)]",0.002598285675048828,0.37134599685668945,6.913235114494334
4,0.75,0.25,1.5,0.25,0.25,0.25,3.0,11.0,random_graphs_n4_e4,5303,4,4,4,4,1,3,2,12,0.011732816696166992,0.050935983657836914,True,v2,original_ranking,4,"[(1, 2), (0, 2), (0, 1), (2, 3)]",0.004743337631225586,0.6139190196990967,15.12146570401672
3,0.3333,0.5,0.5,0.6667,0.5,0.5714,2.0,7.0,random_graphs_n4_e4,3942,4,4,4,4,1,3,2,12,0.011732816696166992,0.052677154541015625,True,v2,original_ranking,3,"[(2, 1), (1, 3), (2, 0)]",0.003989219665527344,0.5306777954101562,11.233023873088952
4,0.75,0.25,1.5,0.25,0.25,0.25,3.0,8.0,random_graphs_n4_e4,2778,4,4,4,4,1,3,2,12,0.011732816696166992,0.05105113983154297,True,v2,original_ranking,4,"[(2, 3), (0, 3), (0, 2), (3, 1)]",0.004795074462890625,0.6135742664337158,14.969648132770695
4,0.5,0.5,1.0,0.5,0.5,0.5,2.0,7.0,random_graphs_n4_e4,2804,4,4,4,4,1,3,2,12,0.011732816696166992,0.05104684829711914,True,v2,original_ranking,4,"[(3, 0), (2, 3), (2, 0), (1, 0)]",0.004483222961425781,0.5935053825378418,10.220255748048867
3,0.6667,0.25,1.0,0.3333,0.25,0.2857,3.0,8.0,random_graphs_n4_e4,2145,4,4,4,4,1,3,2,12,0.011732816696166992,0.053626060485839844,True,v2,original_ranking,3,"[(1, 0), (2, 0), (2, 3)]",0.003783702850341797,0.5162525177001953,9.871883372630425
4,0.75,0.25,1.5,0.25,0.25,0.25,4.0,7.0,random_graphs_n4_e4,150,4,4,4,4,1,3,2,12,0.011732816696166992,0.04834771156311035,True,v2,original_ranking,4,"[(2, 1), (0, 3), (0, 1), (1, 3)]",0.00447392463684082,0.5627970695495605,11.996350251535091
4,0.5,0.5,1.0,0.5,0.5,0.5,2.0,7.0,random_graphs_n4_e4,8823,4,4,4,4,1,3,2,12,0.011732816696166992,0.05133700370788574,True,v2,original_ranking,4,"[(2, 3), (0, 3), (0, 2), (2, 1)]",0.004511117935180664,0.5976524353027344,9.713715236895412
4,0.5,0.5,1.0,0.5,0.5,0.5,2.0,7.0,random_graphs_n4_e4,4669,4,4,4,4,1,3,2,12,0.011732816696166992,0.05060577392578125,True,v2,original_ranking,4,"[(1, 3), (0, 3), (0, 1), (1, 2)]",0.00475311279296875,0.6126430034637451,12.29258304397271
4,0.25,0.75,0.5,0.75,0.75,0.75,1.0,3.0,random_graphs_n4_e4,6131,4,4,4,4,1,3,2,12,0.011732816696166992,0.05186915397644043,True,v2,original_ranking,4,"[(2, 3), (1, 3), (0, 3), (0, 1)]",0.004645109176635742,0.5981347560882568,11.722153883835814
4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,random_graphs_n4_e4,2617,4,4,4,4,1,3,2,12,0.011732816696166992,0.05154109001159668,True,v2,original_ranking,4,"[(1, 3), (0, 3), (0, 1), (3, 2)]",0.004544496536254883,0.5974369049072266,11.504844605044942
2,0.5,0.25,0.5,0.5,0.25,0.3333,3.0,8.0,random_graphs_n4_e4,7166,4,4,4,4,1,3,2,12,0.011732816696166992,0.05544161796569824,True,v2,original_ranking,2,"[(3, 0), (3, 1)]",0.002639293670654297,0.37386345863342285,5.010709628277034
4,1.0,0.0,2.0,0.0,0.0,,4.0,12.0,random_graphs_n4_e4,1428,4,4,4,4,1,3,2,12,0.011732816696166992,0.05157732963562012,True,v2,original_ranking,4,"[(1, 3), (0, 3), (0, 1), (3, 2)]",0.004757404327392578,0.6169331073760986,15.2212065849723
3,0.6667,0.25,1.0,0.3333,0.25,0.2857,3.0,8.0,random_graphs_n4_e4,8328,4,4,4,4,1,3,2,12,0.011732816696166992,0.054175376892089844,True,v2,original_ranking,3,"[(2, 3), (2, 0), (3, 1)]",0.004239320755004883,0.5671627521514893,13.397153336891064
3,0.0,0.75,0.0,1.0,0.75,0.8571,1.0,3.0,random_graphs_n4_e4,8289,4,4,4,4,1,3,2,12,0.011732816696166992,0.05629611015319824,True,v2,original_ranking,3,"[(1, 3), (0, 3), (3, 2)]",0.004024982452392578,0.530393123626709,8.189143013460647
3,0.0,0.75,0.0,1.0,0.75,0.8571,1.0,2.0,random_graphs_n4_e4,5978,4,4,4,4,1,3,2,12,0.011732816696166992,0.053273916244506836,True,v2,original_ranking,3,"[(0, 2), (0, 3), (2, 1)]",0.004245758056640625,0.5707390308380127,13.090315039280796
4,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,random_graphs_n4_e4,5511,4,4,4,4,1,3,2,12,0.011732816696166992,0.05119729042053223,True,v2,original_ranking,4,"[(2, 1), (1, 3), (0, 3), (0, 1)]",0.0048618316650390625,0.6177010536193848,11.88339805979019
4,0.25,0.75,0.5,0.75,0.75,0.75,1.0,5.0,random_graphs_n4_e4,5864,4,4,4,4,1,3,2,12,0.011732816696166992,0.04767942428588867,True,v2,original_ranking,4,"[(1, 3), (1, 2), (0, 3), (0, 2)]",0.0044405460357666016,0.5638573169708252,10.081523479041019
