dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,run_idx,rep,seed,status,error,raw_graph_path,true_graph_path,fact_total,fact_true,fact_false,fact_retained,fact_retained_true,fact_retained_false,fact_removed,fact_removed_true,fact_removed_false,fact_precision,fact_recall,fact_f1,aspcr_model_space,aspcr_encoding,aspcr_solver_objective,aspcr_recomputed_objective,aspcr_graph_is_dag,aspcr_n_directed,aspcr_n_bidirected,aspcr_n_tailtail,aspcr_testing_time,aspcr_encoding_time,aspcr_solving_time,aspcr_data_path,aspcr_directed_path,aspcr_bidirected_path,aspcr_tailtail_path,aspcr_constraints_path,aspcr_diagnostics_path,aspcr_time_path
er5,FGS,0.0288823060691356,4,0.5,0.4,0.4,0.5,0.4,0.4444,3.0,27,28,2053,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/er5/FGS/run_0027_seed_2053.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er5,FGS,0.0338073540478944,6,0.3333,0.8,0.4,0.5,0.6,0.5455,2.0,28,29,2054,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/er5/FGS/run_0028_seed_2054.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er5,FGS,0.0302169239148497,4,0.0,0.8,0.0,0.75,0.6,0.6667,4.0,29,30,2055,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/er5/FGS/run_0029_seed_2055.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er5,FGS,0.2373449932783842,3,0.6667,0.2,0.4,0.3333,0.2,0.25,5.0,30,31,2056,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/er5/FGS/run_0030_seed_2056.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er5,FGS,0.035842815414071,5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,31,32,2057,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/er5/FGS/run_0031_seed_2057.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er5,FGS,0.0315090268850326,5,0.0,1.0,0.0,0.4,0.4,0.4,0.0,32,33,2058,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/er5/FGS/run_0032_seed_2058.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er5,FGS,0.0297380983829498,5,0.8,0.2,0.8,0.2,0.2,0.2,5.0,33,34,2059,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/er5/FGS/run_0033_seed_2059.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er5,FGS,0.0305980164557695,5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,34,35,2060,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/er5/FGS/run_0034_seed_2060.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er5,FGS,0.0296774310991168,4,0.0,0.8,0.0,0.75,0.6,0.6667,1.0,35,36,2061,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/er5/FGS/run_0035_seed_2061.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er5,FGS,0.0309009850025177,5,0.0,1.0,0.0,0.6,0.6,0.6,0.0,36,37,2062,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/er5/FGS/run_0036_seed_2062.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er5,FGS,0.2395641710609197,5,0.0,1.0,0.0,0.4,0.4,0.4,0.0,37,38,2063,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/er5/FGS/run_0037_seed_2063.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er5,FGS,0.0304419575259089,5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,38,39,2064,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/er5/FGS/run_0038_seed_2064.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er5,FGS,0.032143659889698,5,0.0,1.0,0.0,0.4,0.4,0.4,0.0,39,40,2065,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/er5/FGS/run_0039_seed_2065.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er5,FGS,0.0314306849613785,4,0.25,0.6,0.2,0.75,0.6,0.6667,2.0,40,41,2066,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/er5/FGS/run_0040_seed_2066.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er5,FGS,0.0329016335308551,5,0.0,1.0,0.0,0.6,0.6,0.6,0.0,41,42,2067,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/er5/FGS/run_0041_seed_2067.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er5,FGS,0.2383748888969421,3,0.6667,0.2,0.4,0.3333,0.2,0.25,4.0,42,43,2068,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/er5/FGS/run_0042_seed_2068.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er5,FGS,0.0309747494757175,5,0.0,1.0,0.0,0.8,0.8,0.8,2.0,43,44,2069,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/er5/FGS/run_0043_seed_2069.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er5,FGS,0.0346538312733173,5,0.0,1.0,0.0,1.0,1.0,1.0,1.0,44,45,2070,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/er5/FGS/run_0044_seed_2070.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er5,FGS,0.0297164833173155,5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,45,46,2071,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/er5/FGS/run_0045_seed_2071.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er5,FGS,0.0287433648481965,3,0.0,0.6,0.0,0.6667,0.4,0.5,2.0,46,47,2072,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/er5/FGS/run_0046_seed_2072.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er5,FGS,0.0301584526896476,5,0.0,1.0,0.0,0.8,0.8,0.8,0.0,47,48,2073,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/er5/FGS/run_0047_seed_2073.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er5,FGS,0.0315281115472316,5,0.0,1.0,0.0,0.8,0.8,0.8,1.0,48,49,2074,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/er5/FGS/run_0048_seed_2074.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
er5,FGS,0.030306794680655003,5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,49,50,2075,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_fgs_bdeu_alpha001_n5000_50rep/er5/FGS/run_0049_seed_2075.npz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
