dataset,num_nodes,num_edges,impl,seed,time,remove_n,dag_nnz,dag_fdr,dag_tpr,dag_fpr,dag_precision,dag_recall,dag_F1,dag_shd,dag_sid,cpdag_nnz,cpdag_fdr,cpdag_tpr,cpdag_fpr,cpdag_precision,cpdag_recall,cpdag_F1,cpdag_shd,cpdag_sid_low,cpdag_sid_high,AP,CIT_Precision,CIT_Recall,CIT_F1
survey,6,6,new,4669,0.36826235335320234,49,6.0,0.41664999999999996,0.58335,0.27775,0.58335,0.58335,0.58335,2.5,13.5,6.0,0.3333,0.6667,0.2222,0.6667,0.6667,0.6667,4.0,13.0,14.0,0.9000983882889204,0.967741935483871,0.5454545454545454,0.6976744186046512
survey,6,6,new,6131,0.2797797741368413,37,5.0,0.4666666666666666,0.4444333333333333,0.25923333333333337,0.5333333333333333,0.4444333333333333,0.4848666666666667,3.3333333333333335,16.333333333333332,5.0,0.20000000000000004,0.6667,0.11110000000000002,0.8000000000000002,0.6667,0.7273,4.0,16.0,17.0,0.9373264091264077,1.0,0.6428571428571429,0.782608695652174
survey,6,6,new,2617,0.1922752968966961,30,4.0,0.375,0.41664999999999996,0.16665000000000002,0.625,0.41664999999999996,0.5,3.5,12.5,4.0,0.25,0.5,0.1111,0.75,0.5,0.6,6.0,12.0,19.0,0.9473452663586958,1.0,0.5862068965517241,0.7391304347826086
survey,6,6,new,7166,0.24151163827627897,24,5.0,0.4,0.5,0.2222,0.6,0.5,0.5455,3.0,14.0,5.0,0.4,0.5,0.2222,0.6,0.5,0.5455,3.0,14.0,14.0,0.8587792599956603,0.8181818181818182,0.6428571428571429,0.7200000000000001
survey,6,6,new,1428,0.17129646986722946,25,4.0,0.5833333333333334,0.27776666666666666,0.25923333333333337,0.4166666666666667,0.27776666666666666,0.3333333333333333,4.333333333333333,17.333333333333332,4.0,0.25,0.5,0.11110000000000002,0.75,0.5,0.6,5.0,17.0,18.0,0.9206611811391223,1.0,0.6666666666666666,0.8
survey,6,6,new,8328,0.2751190713606775,35,4.0,0.625,0.25,0.27775,0.375,0.25,0.30000000000000004,4.5,18.5,4.0,0.5,0.3333,0.2222,0.5,0.3333,0.4,5.0,18.0,19.0,0.9436706418546237,1.0,0.6046511627906976,0.7536231884057971
survey,6,6,new,8289,0.227526371832937,37,3.0,0.16665,0.41664999999999996,0.05555,0.83335,0.41664999999999996,0.55555,3.5,10.5,3.0,0.0,0.5,0.0,1.0,0.5,0.6667,5.0,10.0,24.0,0.9270816722264794,1.0,0.32142857142857145,0.4864864864864865
survey,6,6,new,5978,0.1971862600184977,26,5.0,0.4,0.5,0.2222,0.6,0.5,0.5455,3.0,14.0,5.0,0.4,0.5,0.2222,0.6,0.5,0.5455,3.0,14.0,14.0,0.9067603686234971,0.8846153846153846,0.6764705882352942,0.7666666666666666
survey,6,6,new,5511,0.280363786034286,37,5.0,0.4666666666666666,0.4444333333333333,0.25923333333333337,0.5333333333333333,0.4444333333333333,0.4848666666666667,3.3333333333333335,16.333333333333332,5.0,0.20000000000000004,0.6667,0.11110000000000002,0.8000000000000002,0.6667,0.7273,4.0,16.0,17.0,0.9282168255677352,0.9629629629629629,0.5909090909090909,0.732394366197183
survey,6,6,new,5864,0.13697677478194237,21,3.0,0.16665,0.41664999999999996,0.05555,0.83335,0.41664999999999996,0.55555,3.5,10.5,3.0,0.0,0.5,0.0,1.0,0.5,0.6667,5.0,10.0,24.0,0.8958437074197944,0.9230769230769231,0.6666666666666666,0.7741935483870968
