dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,run_idx,rep,seed,status,error,raw_graph_path,true_graph_path
er8,FGS,0.08710694313049316,6,1.0,0.0,0.3,0.0,0.0,0.0,13.0,12,13,2038,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0012_seed_2038.npz,
er8,FGS,0.07909798622131348,4,1.0,0.0,0.2,0.0,0.0,0.0,12.0,13,14,2039,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0013_seed_2039.npz,
er8,FGS,0.08953332901000977,5,0.8,0.125,0.2,0.2,0.125,0.1538,11.0,14,15,2040,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0014_seed_2040.npz,
er8,FGS,0.08860516548156738,5,1.0,0.0,0.25,0.0,0.0,0.0,11.0,15,16,2041,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0015_seed_2041.npz,
er8,FGS,0.08014774322509766,7,0.7143,0.25,0.25,0.2857,0.25,0.2667,11.0,16,17,2042,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0016_seed_2042.npz,
er8,FGS,0.07647514343261719,4,0.75,0.125,0.15,0.25,0.125,0.1667,10.0,17,18,2043,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0017_seed_2043.npz,
er8,FGS,0.08202934265136719,6,0.6667,0.25,0.2,0.3333,0.25,0.2857,10.0,18,19,2044,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0018_seed_2044.npz,
er8,FGS,0.08281540870666504,7,0.8571,0.125,0.3,0.1429,0.125,0.1333,12.0,19,20,2045,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0019_seed_2045.npz,
er8,FGS,0.08049631118774414,3,0.3333,0.25,0.05,0.6667,0.25,0.3636,7.0,20,21,2046,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0020_seed_2046.npz,
er8,FGS,0.08508753776550293,6,0.8333,0.125,0.25,0.1667,0.125,0.1429,11.0,21,22,2047,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0021_seed_2047.npz,
er8,FGS,0.0748283863067627,6,0.8333,0.125,0.25,0.1667,0.125,0.1429,11.0,22,23,2048,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0022_seed_2048.npz,
er8,FGS,0.07085680961608887,3,1.0,0.0,0.15,0.0,0.0,0.0,10.0,23,24,2049,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0023_seed_2049.npz,
er8,FGS,0.08245730400085449,7,0.8571,0.125,0.3,0.1429,0.125,0.1333,11.0,24,25,2050,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0024_seed_2050.npz,
er8,FGS,0.0758826732635498,6,0.5,0.375,0.15,0.5,0.375,0.4286,8.0,25,26,2051,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0025_seed_2051.npz,
er8,FGS,0.07425093650817871,5,1.0,0.0,0.25,0.0,0.0,0.0,13.0,26,27,2052,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0026_seed_2052.npz,
er8,FGS,0.07875275611877441,3,1.0,0.0,0.15,0.0,0.0,0.0,11.0,27,28,2053,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0027_seed_2053.npz,
er8,FGS,0.07572698593139648,6,1.0,0.0,0.3,0.0,0.0,0.0,13.0,28,29,2054,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0028_seed_2054.npz,
er8,FGS,0.07682538032531738,6,0.8333,0.125,0.25,0.1667,0.125,0.1429,12.0,29,30,2055,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0029_seed_2055.npz,
er8,FGS,0.07528829574584961,4,1.0,0.0,0.2,0.0,0.0,0.0,12.0,30,31,2056,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0030_seed_2056.npz,
er8,FGS,0.0741128921508789,5,1.0,0.0,0.25,0.0,0.0,0.0,12.0,31,32,2057,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0031_seed_2057.npz,
er8,FGS,0.07363057136535645,5,1.0,0.0,0.25,0.0,0.0,0.0,12.0,32,33,2058,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0032_seed_2058.npz,
er8,FGS,0.07422590255737305,5,0.8,0.125,0.2,0.2,0.125,0.1538,10.0,33,34,2059,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0033_seed_2059.npz,
er8,FGS,0.07514333724975586,6,0.8333,0.125,0.25,0.1667,0.125,0.1429,11.0,34,35,2060,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0034_seed_2060.npz,
er8,FGS,0.08265066146850586,6,0.5,0.375,0.15,0.5,0.375,0.4286,7.0,35,36,2061,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0035_seed_2061.npz,
er8,FGS,0.07711195945739746,6,1.0,0.0,0.3,0.0,0.0,0.0,13.0,36,37,2062,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0036_seed_2062.npz,
er8,FGS,0.07482528686523438,5,0.8,0.125,0.2,0.2,0.125,0.1538,9.0,37,38,2063,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0037_seed_2063.npz,
er8,FGS,0.07538270950317383,5,0.8,0.125,0.2,0.2,0.125,0.1538,10.0,38,39,2064,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0038_seed_2064.npz,
er8,FGS,0.07569241523742676,5,0.6,0.25,0.15,0.4,0.25,0.3077,9.0,39,40,2065,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0039_seed_2065.npz,
er8,FGS,0.07728266716003418,6,0.8333,0.125,0.25,0.1667,0.125,0.1429,11.0,40,41,2066,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0040_seed_2066.npz,
er8,FGS,0.07511234283447266,4,1.0,0.0,0.2,0.0,0.0,0.0,12.0,41,42,2067,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0041_seed_2067.npz,
er8,FGS,0.09162354469299316,6,0.6667,0.25,0.2,0.3333,0.25,0.2857,8.0,42,43,2068,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0042_seed_2068.npz,
er8,FGS,0.07456207275390625,5,0.8,0.125,0.2,0.2,0.125,0.1538,11.0,43,44,2069,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0043_seed_2069.npz,
er8,FGS,0.0760488510131836,5,0.8,0.125,0.2,0.2,0.125,0.1538,10.0,44,45,2070,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0044_seed_2070.npz,
er8,FGS,0.07657837867736816,5,1.0,0.0,0.25,0.0,0.0,0.0,13.0,45,46,2071,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0045_seed_2071.npz,
er8,FGS,0.07308220863342285,2,1.0,0.0,0.1,0.0,0.0,0.0,8.0,46,47,2072,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0046_seed_2072.npz,
er8,FGS,0.07855224609375,5,0.8,0.125,0.2,0.2,0.125,0.1538,10.0,47,48,2073,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0047_seed_2073.npz,
er8,FGS,0.07756614685058594,5,0.8,0.125,0.2,0.2,0.125,0.1538,10.0,48,49,2074,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0048_seed_2074.npz,
er8,FGS,0.07940864562988281,5,1.0,0.0,0.25,0.0,0.0,0.0,12.0,49,50,2075,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/er8/FGS/run_0049_seed_2075.npz,
