dataset,model,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,run_idx,rep,seed,status,error,raw_graph_path,true_graph_path
sf8,FGS,0.07007217407226562,2,1.0,0.0,0.0952,0.0,0.0,0.0,8.0,38,39,2064,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0038_seed_2064.npz,
sf8,FGS,0.06903576850891113,2,1.0,0.0,0.0952,0.0,0.0,0.0,9.0,39,40,2065,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0039_seed_2065.npz,
sf8,FGS,0.07410860061645508,4,1.0,0.0,0.1905,0.0,0.0,0.0,10.0,40,41,2066,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0040_seed_2066.npz,
sf8,FGS,0.06932926177978516,2,0.5,0.1429,0.0476,0.5,0.1429,0.2222,7.0,41,42,2067,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0041_seed_2067.npz,
sf8,FGS,0.07477092742919922,5,0.8,0.1429,0.1905,0.2,0.1429,0.1667,10.0,42,43,2068,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0042_seed_2068.npz,
sf8,FGS,0.06998467445373535,2,1.0,0.0,0.0952,0.0,0.0,0.0,9.0,43,44,2069,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0043_seed_2069.npz,
sf8,FGS,0.07285332679748535,4,0.75,0.1429,0.1429,0.25,0.1429,0.1818,9.0,44,45,2070,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0044_seed_2070.npz,
sf8,FGS,0.07367205619812012,5,0.6,0.2857,0.1429,0.4,0.2857,0.3333,8.0,45,46,2071,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0045_seed_2071.npz,
sf8,FGS,0.07181787490844727,2,1.0,0.0,0.0952,0.0,0.0,0.0,9.0,46,47,2072,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0046_seed_2072.npz,
sf8,FGS,0.07576251029968262,5,0.8,0.1429,0.1905,0.2,0.1429,0.1667,10.0,47,48,2073,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0047_seed_2073.npz,
sf8,FGS,0.08598971366882324,3,0.6667,0.1429,0.0952,0.3333,0.1429,0.2,8.0,48,49,2074,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0048_seed_2074.npz,
sf8,FGS,0.07649660110473633,7,0.8571,0.1429,0.2857,0.1429,0.1429,0.1429,11.0,49,50,2075,ok,,results/paper_aaai2027/frozen/results/estimated_graphs/paper_er_sf_sparse_alpha001_noweight_50rep_mpc_fgs/sf8/FGS/run_0049_seed_2075.npz,
