dataset,alpha,seed,version,facts_total,true_fact_count,false_fact_count,true_indep_count,false_indep_count,true_dep_count,false_dep_count,indep_pair_count,wrong_block_pair_count,correct_block_pair_count,contradictory_pair_count,wrong_block_pairs,correct_block_pairs
asia,alpha005,2494,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,172,150,22,22,15,128,7,23,3,20,18,"['0,6', '2,3', '3,7']","['0,1', '0,2', '0,3', '0,4', '0,5', '0,7', '1,3', '1,4', '1,6', '1,7', '2,4', '2,5', '2,6', '2,7', '3,5', '4,6', '4,7', '5,6', '5,7', '6,7']"
asia,alpha005,2656,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,180,166,14,27,11,139,3,21,2,19,13,"['2,3', '3,7']","['0,1', '0,2', '0,3', '0,4', '0,5', '0,7', '1,3', '1,4', '1,6', '1,7', '2,5', '2,6', '2,7', '3,5', '4,6', '4,7', '5,6', '5,7', '6,7']"
asia,alpha005,2688,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,140,130,10,24,10,106,0,23,3,20,14,"['0,6', '2,3', '3,7']","['0,1', '0,2', '0,3', '0,4', '0,5', '0,7', '1,3', '1,4', '1,6', '1,7', '2,4', '2,5', '2,6', '2,7', '3,5', '4,6', '4,7', '5,6', '5,7', '6,7']"
asia,alpha005,3199,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,183,159,24,25,15,134,9,23,3,20,18,"['0,6', '2,3', '3,7']","['0,1', '0,2', '0,3', '0,4', '0,5', '0,7', '1,3', '1,4', '1,6', '1,7', '2,4', '2,5', '2,6', '2,7', '3,5', '4,6', '4,7', '5,6', '5,7', '6,7']"
asia,alpha005,3578,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,146,134,12,23,11,111,1,23,3,20,15,"['0,6', '2,3', '3,7']","['0,1', '0,2', '0,3', '0,4', '0,5', '0,7', '1,3', '1,4', '1,6', '1,7', '2,4', '2,5', '2,6', '2,7', '3,5', '4,6', '4,7', '5,6', '5,7', '6,7']"
asia,alpha005,7816,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,154,140,14,24,14,116,0,22,2,20,14,"['2,3', '3,7']","['0,1', '0,2', '0,3', '0,4', '0,5', '0,7', '1,3', '1,4', '1,6', '1,7', '2,4', '2,5', '2,6', '2,7', '3,5', '4,6', '4,7', '5,6', '5,7', '6,7']"
asia,alpha005,7977,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,151,144,7,27,7,117,0,22,2,20,15,"['2,3', '3,7']","['0,1', '0,2', '0,3', '0,4', '0,5', '0,7', '1,3', '1,4', '1,6', '1,7', '2,4', '2,5', '2,6', '2,7', '3,5', '4,6', '4,7', '5,6', '5,7', '6,7']"
asia,alpha005,8266,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,176,158,18,31,11,127,7,21,2,19,16,"['2,3', '3,7']","['0,1', '0,2', '0,3', '0,5', '0,7', '1,3', '1,4', '1,6', '1,7', '2,4', '2,5', '2,6', '2,7', '3,5', '4,6', '4,7', '5,6', '5,7', '6,7']"
asia,alpha001,183,bnlearn_abapc_nor_matched10_others_gsq_alpha001,140,128,12,24,12,104,0,23,3,20,14,"['0,6', '2,3', '3,7']","['0,1', '0,2', '0,3', '0,4', '0,5', '0,7', '1,3', '1,4', '1,6', '1,7', '2,4', '2,5', '2,6', '2,7', '3,5', '4,6', '4,7', '5,6', '5,7', '6,7']"
asia,alpha001,316,bnlearn_abapc_nor_matched10_others_gsq_alpha001,124,111,13,19,13,92,0,23,3,20,12,"['0,6', '2,3', '3,7']","['0,1', '0,2', '0,3', '0,4', '0,5', '0,7', '1,3', '1,4', '1,6', '1,7', '2,4', '2,5', '2,6', '2,7', '3,5', '4,6', '4,7', '5,6', '5,7', '6,7']"
asia,alpha001,2494,bnlearn_abapc_nor_matched10_others_gsq_alpha001,164,144,20,23,17,121,3,23,3,20,17,"['0,6', '2,3', '3,7']","['0,1', '0,2', '0,3', '0,4', '0,5', '0,7', '1,3', '1,4', '1,6', '1,7', '2,4', '2,5', '2,6', '2,7', '3,5', '4,6', '4,7', '5,6', '5,7', '6,7']"
asia,alpha001,2656,bnlearn_abapc_nor_matched10_others_gsq_alpha001,131,117,14,19,13,98,1,23,3,20,13,"['0,6', '2,3', '3,7']","['0,1', '0,2', '0,3', '0,4', '0,5', '0,7', '1,3', '1,4', '1,6', '1,7', '2,4', '2,5', '2,6', '2,7', '3,5', '4,6', '4,7', '5,6', '5,7', '6,7']"
asia,alpha001,2688,bnlearn_abapc_nor_matched10_others_gsq_alpha001,140,130,10,24,10,106,0,23,3,20,14,"['0,6', '2,3', '3,7']","['0,1', '0,2', '0,3', '0,4', '0,5', '0,7', '1,3', '1,4', '1,6', '1,7', '2,4', '2,5', '2,6', '2,7', '3,5', '4,6', '4,7', '5,6', '5,7', '6,7']"
asia,alpha001,3199,bnlearn_abapc_nor_matched10_others_gsq_alpha001,161,143,18,26,17,117,1,23,3,20,16,"['0,6', '2,3', '3,7']","['0,1', '0,2', '0,3', '0,4', '0,5', '0,7', '1,3', '1,4', '1,6', '1,7', '2,4', '2,5', '2,6', '2,7', '3,5', '4,6', '4,7', '5,6', '5,7', '6,7']"
asia,alpha001,3578,bnlearn_abapc_nor_matched10_others_gsq_alpha001,140,130,10,24,10,106,0,23,3,20,14,"['0,6', '2,3', '3,7']","['0,1', '0,2', '0,3', '0,4', '0,5', '0,7', '1,3', '1,4', '1,6', '1,7', '2,4', '2,5', '2,6', '2,7', '3,5', '4,6', '4,7', '5,6', '5,7', '6,7']"
asia,alpha001,7816,bnlearn_abapc_nor_matched10_others_gsq_alpha001,128,112,16,18,16,94,0,23,3,20,13,"['0,6', '2,3', '3,7']","['0,1', '0,2', '0,3', '0,4', '0,5', '0,7', '1,3', '1,4', '1,6', '1,7', '2,4', '2,5', '2,6', '2,7', '3,5', '4,6', '4,7', '5,6', '5,7', '6,7']"
asia,alpha001,7977,bnlearn_abapc_nor_matched10_others_gsq_alpha001,146,134,12,24,12,110,0,23,3,20,15,"['0,6', '2,3', '3,7']","['0,1', '0,2', '0,3', '0,4', '0,5', '0,7', '1,3', '1,4', '1,6', '1,7', '2,4', '2,5', '2,6', '2,7', '3,5', '4,6', '4,7', '5,6', '5,7', '6,7']"
asia,alpha001,8266,bnlearn_abapc_nor_matched10_others_gsq_alpha001,163,149,14,28,12,121,2,22,2,20,16,"['2,3', '3,7']","['0,1', '0,2', '0,3', '0,4', '0,5', '0,7', '1,3', '1,4', '1,6', '1,7', '2,4', '2,5', '2,6', '2,7', '3,5', '4,6', '4,7', '5,6', '5,7', '6,7']"
sachs,alpha005,183,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,1007,992,15,72,10,920,5,38,0,38,14,[],"['0,10', '0,2', '0,3', '0,4', '0,5', '0,6', '0,8', '0,9', '1,10', '1,2', '1,4', '1,5', '1,6', '1,8', '1,9', '2,10', '2,3', '2,4', '2,5', '2,6', '2,9', '3,4', '3,5', '3,6', '3,9', '4,10', '4,5', '4,6', '4,9', '5,10', '5,7', '5,8', '6,10', '6,7', '6,8', '7,9', '8,9', '9,10']"
sachs,alpha005,316,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,1048,1024,24,77,14,947,10,38,0,38,15,[],"['0,10', '0,2', '0,3', '0,4', '0,5', '0,6', '0,8', '0,9', '1,10', '1,2', '1,4', '1,5', '1,6', '1,8', '1,9', '2,10', '2,3', '2,4', '2,5', '2,6', '2,9', '3,4', '3,5', '3,6', '3,9', '4,10', '4,5', '4,6', '4,9', '5,10', '5,7', '5,8', '6,10', '6,7', '6,8', '7,9', '8,9', '9,10']"
