dataset,seed,alpha_old,alpha_new,old_only_count,new_only_count,old_only_true_count,old_only_false_count,new_only_true_count,new_only_false_count,old_only_true_indep_count,old_only_false_indep_count,old_only_true_dep_count,old_only_false_dep_count,new_only_true_indep_count,new_only_false_indep_count,new_only_true_dep_count,new_only_false_dep_count,facts_total_old,facts_total_new,delta_facts_total,true_fact_count_old,true_fact_count_new,delta_true_fact_count,false_fact_count_old,false_fact_count_new,delta_false_fact_count,true_indep_count_old,true_indep_count_new,delta_true_indep_count,false_indep_count_old,false_indep_count_new,delta_false_indep_count,true_dep_count_old,true_dep_count_new,delta_true_dep_count,false_dep_count_old,false_dep_count_new,delta_false_dep_count,indep_pair_count_old,indep_pair_count_new,delta_indep_pair_count,wrong_block_pair_count_old,wrong_block_pair_count_new,delta_wrong_block_pair_count,correct_block_pair_count_old,correct_block_pair_count_new,delta_correct_block_pair_count,contradictory_pair_count_old,contradictory_pair_count_new,delta_contradictory_pair_count
survey,8266,alpha005,alpha001,27,4,22,5,0,4,3,5,19,0,0,4,0,0,67,44,-23.0,48,26,-22.0,19,18,-1.0,8,5,-3.0,19,18,-1.0,40,21,-19.0,0,0,0.0,10,11,1.0,1,2,1.0,9,9,0.0,4,2,-2.0
asia,183,alpha005,alpha001,1,1,1,0,0,1,0,0,1,0,0,1,0,0,140,140,0.0,129,128,-1.0,11,12,1.0,24,24,0.0,11,12,1.0,105,104,-1.0,0,0,0.0,23,23,0.0,3,3,0.0,20,20,0.0,14,14,0.0
asia,316,alpha005,alpha001,48,8,40,8,2,6,7,5,33,3,2,6,0,0,164,124,-40.0,149,111,-38.0,15,13,-2.0,24,19,-5.0,12,13,1.0,125,92,-33.0,3,0,-3.0,23,23,0.0,3,3,0.0,20,20,0.0,16,12,-4.0
asia,2494,alpha005,alpha001,14,6,9,5,3,3,2,1,7,4,3,3,0,0,172,164,-8.0,150,144,-6.0,22,20,-2.0,22,23,1.0,15,17,2.0,128,121,-7.0,7,3,-4.0,23,23,0.0,3,3,0.0,20,20,0.0,18,17,-1.0
asia,2656,alpha005,alpha001,54,5,50,4,1,4,9,2,41,2,1,4,0,0,180,131,-49.0,166,117,-49.0,14,14,0.0,27,19,-8.0,11,13,2.0,139,98,-41.0,3,1,-2.0,21,23,2.0,2,3,1.0,19,20,1.0,13,13,0.0
asia,2688,alpha005,alpha001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,140,0.0,130,130,0.0,10,10,0.0,24,24,0.0,10,10,0.0,106,106,0.0,0,0,0.0,23,23,0.0,3,3,0.0,20,20,0.0,14,14,0.0
asia,3199,alpha005,alpha001,34,12,21,13,5,7,4,5,17,8,5,7,0,0,183,161,-22.0,159,143,-16.0,24,18,-6.0,25,26,1.0,15,17,2.0,134,117,-17.0,9,1,-8.0,23,23,0.0,3,3,0.0,20,20,0.0,18,16,-2.0
asia,3578,alpha005,alpha001,9,3,5,4,1,2,0,3,5,1,1,2,0,0,146,140,-6.0,134,130,-4.0,12,10,-2.0,23,24,1.0,11,10,-1.0,111,106,-5.0,1,0,-1.0,23,23,0.0,3,3,0.0,20,20,0.0,15,14,-1.0
asia,7816,alpha005,alpha001,34,8,28,6,0,8,6,6,22,0,0,8,0,0,154,128,-26.0,140,112,-28.0,14,16,2.0,24,18,-6.0,14,16,2.0,116,94,-22.0,0,0,0.0,22,23,1.0,2,3,1.0,20,20,0.0,14,13,-1.0
asia,7977,alpha005,alpha001,10,5,10,0,0,5,3,0,7,0,0,5,0,0,151,146,-5.0,144,134,-10.0,7,12,5.0,27,24,-3.0,7,12,5.0,117,110,-7.0,0,0,0.0,22,23,1.0,2,3,1.0,20,20,0.0,15,15,0.0
asia,8266,alpha005,alpha001,18,5,12,6,3,2,6,1,6,5,3,2,0,0,176,163,-13.0,158,149,-9.0,18,14,-4.0,31,28,-3.0,11,12,1.0,127,121,-6.0,7,2,-5.0,21,22,1.0,2,2,0.0,19,20,1.0,16,16,0.0
sachs,183,alpha005,alpha001,66,7,57,9,4,3,2,5,55,4,4,3,0,0,1007,948,-59.0,992,939,-53.0,15,9,-6.0,72,74,2.0,10,8,-2.0,920,865,-55.0,5,1,-4.0,38,38,0.0,0,0,0.0,38,38,0.0,14,14,0.0
