dataset,alpha,method,seed,version,removed_fact_count,kept_fact_count,removed_true_count,removed_false_count,kept_true_count,kept_false_count,removed_true_indep_count,removed_false_indep_count,removed_true_dep_count,removed_false_dep_count,kept_true_indep_count,kept_false_indep_count,kept_true_dep_count,kept_false_dep_count,released_block_pair_count,released_wrong_block_pair_count,released_correct_block_pair_count,remaining_wrong_block_pair_count,effective_wrong_block_pair_count,dag_F1,dag_SHD,dag_SID,cpdag_F1,cpdag_SHD,cpdag_SID_low,cpdag_SID_high,elapsed_sec,remove_n,fully_released_pair_count_reported,block_edge_mode
cancer,alpha001,ABAPC (nor),3199,bnlearn_abapc_nor_matched10_others_gsq_alpha001,4,18,1,3,15,3,1,3,0,0,3,3,12,0,1,1,0,0,0,0.0,4.0,16.0,0.0,4.0,11.0,16.0,0.0554201602935791,4,1,
cancer,alpha001,ABAPC (nor),3578,bnlearn_abapc_nor_matched10_others_gsq_alpha001,16,21,10,6,21,0,4,6,6,0,0,0,21,0,7,1,6,0,0,0.5714,2.0,6.0,0.5714,2.0,6.0,11.0,0.0801992416381836,16,7,
cancer,alpha001,ABAPC (nor),7816,bnlearn_abapc_nor_matched10_others_gsq_alpha001,9,35,4,5,34,1,4,5,0,0,2,1,32,0,3,0,3,0,0,0.75,1.0,5.0,0.75,1.0,5.0,10.0,0.08363080024719238,9,3,
cancer,alpha001,ABAPC (nor),7977,bnlearn_abapc_nor_matched10_others_gsq_alpha001,16,21,11,5,21,0,4,5,7,0,0,0,21,0,7,1,6,0,0,0.5714,2.0,6.0,0.5714,2.0,1.0,11.0,0.44005608558654785,16,7,
cancer,alpha001,ABAPC (nor),8266,bnlearn_abapc_nor_matched10_others_gsq_alpha001,11,33,5,6,33,0,5,6,0,0,1,0,32,0,5,0,5,0,0,0.75,1.0,5.0,0.75,1.0,5.0,10.0,0.07948803901672363,11,5,
cancer,alpha001,ABAPC (bb),183,bnlearn_abapc_bb_matched10_others_gsq_searchv3_alpha001,6,16,2,4,14,2,2,4,0,0,2,2,12,0,3,1,2,0,0,0.5714,2.0,6.0,0.5714,2.0,6.0,11.0,0.2420203685760498,6,3,dynamic
cancer,alpha001,ABAPC (bb),316,bnlearn_abapc_bb_matched10_others_gsq_searchv3_alpha001,8,20,3,5,18,2,3,5,0,0,1,2,17,0,4,1,3,0,0,0.4444,4.0,7.0,0.4444,4.0,7.0,7.0,0.24557018280029297,8,3,dynamic
cancer,alpha001,ABAPC (bb),2494,bnlearn_abapc_bb_matched10_others_gsq_searchv3_alpha001,10,34,4,6,34,0,4,6,0,0,2,0,32,0,4,0,4,0,0,0.6667,2.0,4.0,0.6667,2.0,4.0,14.0,0.27095866203308105,10,4,dynamic
cancer,alpha001,ABAPC (bb),2656,bnlearn_abapc_bb_matched10_others_gsq_searchv3_alpha001,4,18,3,1,13,5,3,1,0,0,1,5,12,0,1,1,0,0,0,0.2857,3.0,11.0,0.2857,3.0,11.0,11.0,0.2735576629638672,4,1,dynamic
cancer,alpha001,ABAPC (bb),2688,bnlearn_abapc_bb_matched10_others_gsq_searchv3_alpha001,10,18,5,5,17,1,3,5,2,0,1,1,16,0,5,1,4,0,0,0.25,3.0,15.0,0.25,3.0,10.0,15.0,0.25533199310302734,10,4,dynamic
cancer,alpha001,ABAPC (bb),3199,bnlearn_abapc_bb_matched10_others_gsq_searchv3_alpha001,4,18,1,3,15,3,1,3,0,0,3,3,12,0,1,1,0,0,0,0.0,4.0,16.0,0.0,4.0,11.0,16.0,0.26146650314331055,4,1,dynamic
