dataset,num_nodes,num_edges,impl,seed,time,remove_n,dag_nnz,dag_fdr,dag_tpr,dag_fpr,dag_precision,dag_recall,dag_F1,dag_shd,dag_sid,cpdag_nnz,cpdag_fdr,cpdag_tpr,cpdag_fpr,cpdag_precision,cpdag_recall,cpdag_F1,cpdag_shd,cpdag_sid_low,cpdag_sid_high,AP,CIT_Precision,CIT_Recall,CIT_F1,prior_filename,prior_forbidden_length,prior_forbidden_Precision,prior_forbidden_Recall,prior_forbidden_F1,prior_required_length,prior_required_Precision,prior_required_Recall,prior_required_F1
asia,8,8,org,6131,0.2739174328744411,137,4.0,0.0,0.5,0.0,1.0,0.5,0.6667,4.0,16.0,4.0,0.0,0.5,0.0,0.25,0.125,0.1667,6.0,16.0,31.0,0.9722699022590856,1.0,0.0232558139534883,0.0454545454545454,asia,,,,,,,,
asia,8,8,org,2617,0.2475743149407208,122,3.0,0.3333,0.25,0.05,0.6667,0.25,0.3636,6.0,29.0,3.0,0.0,0.375,0.0,0.3333,0.125,0.1818,7.0,21.0,39.0,0.9692237226640446,1.0,0.0181818181818181,0.0357142857142857,asia,,,,,,,,
asia,8,8,org,7166,0.2588034430518746,131,5.0,0.2,0.5,0.05,0.8,0.5,0.6154,4.0,21.0,5.0,0.0,0.625,0.0,0.6,0.375,0.4615,4.0,14.0,24.0,0.9735191182263072,1.0,0.0245901639344262,0.048,asia,,,,,,,,
asia,8,8,org,1428,0.2905064760707319,143,5.0,0.0,0.625,0.0,1.0,0.625,0.7692,3.0,14.0,5.0,0.0,0.625,0.0,0.6,0.375,0.4615,4.0,14.0,24.0,0.975745647696686,1.0,0.0225563909774436,0.0441176470588235,asia,,,,,,,,
asia,8,8,org,8328,0.259008543100208,132,5.0,0.0,0.625,0.0,1.0,0.625,0.7692,3.0,14.0,5.0,0.0,0.625,0.0,0.6,0.375,0.4615,4.0,14.0,24.0,0.9739785627911536,1.0,0.0163934426229508,0.032258064516129,asia,,,,,,,,
asia,8,8,org,8289,0.2810624958947301,137,5.0,0.2,0.5,0.05,0.8,0.5,0.6154,4.0,21.0,5.0,0.0,0.625,0.0,0.6,0.375,0.4615,4.0,14.0,24.0,0.972608046128788,1.0,0.0232558139534883,0.0454545454545454,asia,,,,,,,,
asia,8,8,org,5978,0.2722123442217707,136,5.0,0.2,0.5,0.05,0.8,0.5,0.6154,4.0,21.0,5.0,0.0,0.625,0.0,0.6,0.375,0.4615,4.0,14.0,24.0,0.9698645958611736,1.0,0.024,0.046875,asia,,,,,,,,
asia,8,8,org,5511,0.2912232698872685,149,5.0,0.2,0.5,0.05,0.8,0.5,0.6154,4.0,22.0,5.0,0.0,0.625,0.0,0.2,0.125,0.1538,6.0,22.0,37.0,0.9744885048822706,1.0,0.0212765957446808,0.0416666666666666,asia,,,,,,,,
asia,8,8,org,5864,0.336727156303823,169,5.5,0.36665,0.4375,0.1,0.63335,0.4375,0.5164500000000001,5.5,27.5,5.5,0.28335,0.5,0.075,0.45,0.3125,0.36815,5.5,20.0,28.5,0.9776642941630974,1.0,0.0196078431372549,0.0384615384615384,asia,,,,,,,,
asia,8,8,org,606,0.2714523021131754,137,4.0,0.0,0.5,0.0,1.0,0.5,0.6667,4.0,16.0,4.0,0.0,0.5,0.0,0.25,0.125,0.1667,6.0,16.0,31.0,0.9729583078915658,1.0,0.0236220472440944,0.0461538461538461,asia,,,,,,,,
