dataset,num_nodes,num_edges,impl,seed,time,remove_n,n_models_enumerated,n_dag_models,n_cpdag_models,dag_nnz,dag_fdr,dag_tpr,dag_fpr,dag_precision,dag_recall,dag_F1,dag_shd,dag_sid,cpdag_nnz,cpdag_fdr,cpdag_tpr,cpdag_fpr,cpdag_precision,cpdag_recall,cpdag_F1,cpdag_shd,cpdag_sid_low,cpdag_sid_high,AP,CIT_Precision,CIT_Recall,CIT_F1
dag_5_nodes_5_edges_semantics_ER,5,5,org,6071,0.031384100002469495,0,5,4,1,5.0,0.2,0.8,0.2,0.8,0.8,0.8,1.0,,5.0,0.0,1.0,0.0,0.8,0.8,0.8,0.0,,,1.0,1.0,1.0,1.0
dag_5_nodes_5_edges_semantics_ER,5,5,org,5504,0.029255699992063455,1,5,4,1,5.0,0.2,0.8,0.2,0.8,0.8,0.8,1.0,,5.0,0.0,1.0,0.0,0.8,0.8,0.8,0.0,,,0.9999999999999999,1.0,1.0,1.0
dag_5_nodes_5_edges_semantics_ER,5,5,org,5163,0.04141059999528807,0,5,4,1,5.0,0.2,0.8,0.2,0.8,0.8,0.8,1.0,,5.0,0.0,1.0,0.0,0.8,0.8,0.8,0.0,,,1.0000000000000002,1.0,1.0,1.0
dag_5_nodes_5_edges_semantics_ER,5,5,org,2406,0.034299300008569844,0,5,4,1,5.0,0.2,0.8,0.2,0.8,0.8,0.8,1.0,,5.0,0.0,1.0,0.0,0.8,0.8,0.8,0.0,,,1.0000000000000002,1.0,1.0,1.0
dag_5_nodes_5_edges_semantics_ER,5,5,org,304,0.15308960000402294,12,5,4,1,5.0,0.2,0.8,0.2,0.8,0.8,0.8,1.0,,5.0,0.0,1.0,0.0,0.8,0.8,0.8,0.0,,,0.9941568419945322,1.0,0.7777777777777778,0.8750000000000001
dag_5_nodes_5_edges_semantics_ER,5,5,org,3391,0.040167099999962375,0,5,4,1,5.0,0.2,0.8,0.2,0.8,0.8,0.8,1.0,,5.0,0.0,1.0,0.0,0.8,0.8,0.8,0.0,,,1.0,1.0,1.0,1.0
dag_5_nodes_5_edges_semantics_ER,5,5,org,359,0.030454300009296276,0,5,4,1,5.0,0.2,0.8,0.2,0.8,0.8,0.8,1.0,,5.0,0.0,1.0,0.0,0.8,0.8,0.8,0.0,,,1.0000000000000002,1.0,1.0,1.0
dag_5_nodes_5_edges_semantics_ER,5,5,org,9096,0.062345700003788806,8,5,4,1,5.0,0.2,0.8,0.2,0.8,0.8,0.8,1.0,,5.0,0.0,1.0,0.0,0.8,0.8,0.8,0.0,,,0.9953819176901654,1.0,0.825,0.9041095890410958
dag_5_nodes_5_edges_semantics_ER,5,5,org,3533,0.024122299990267493,0,5,4,1,5.0,0.2,0.8,0.2,0.8,0.8,0.8,1.0,,5.0,0.0,1.0,0.0,0.8,0.8,0.8,0.0,,,1.0,1.0,1.0,1.0
dag_5_nodes_5_edges_semantics_ER,5,5,org,4125,0.04643909999867901,4,5,4,1,5.0,0.2,0.8,0.2,0.8,0.8,0.8,1.0,,5.0,0.0,1.0,0.0,0.8,0.8,0.8,0.0,,,0.9987015121630507,1.0,0.9487179487179487,0.9736842105263158
dag_5_nodes_5_edges_semantics_ER,5,5,org,3094,0.02245389999006875,0,5,4,1,5.0,0.2,0.8,0.2,0.8,0.8,0.8,1.0,,5.0,0.0,1.0,0.0,0.8,0.8,0.8,0.0,,,1.0,1.0,1.0,1.0
dag_5_nodes_5_edges_semantics_ER,5,5,org,6398,0.07766160000755917,13,8,5,1,4.0,0.6,0.32,0.4800000000000001,0.4,0.32,0.44442500000000007,3.4,,4.0,0.0,0.8,0.0,0.75,0.6,0.6667,3.0,,,0.9981884057971014,1.0,0.4782608695652174,0.6470588235294118
