n_nodes,n_edges,model,seed,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high
5,5,FGS,4187,0.10346150398254395,4,1.0,0.0,0.8,0.0,0.0,,8.0,13.0,13.0
5,5,FGS,4135,0.10210061073303223,3,0.6667,0.2,0.4,0.3333,0.2,0.25,6.0,13.0,18.0
5,5,FGS,5174,0.1231834888458252,4,0.25,0.6,0.2,0.25,0.2,0.2222,4.0,10.0,15.0
5,5,FGS,5303,0.10449051856994629,5,0.0,1.0,0.0,0.4,0.4,0.4,2.0,6.0,19.0
5,5,FGS,3942,0.10569357872009277,6,0.1667,1.0,0.2,0.5,0.6,0.5455,3.0,0.0,15.0
5,5,FGS,2778,0.10722470283508301,5,0.0,1.0,0.0,0.8,0.8,0.8,2.0,5.0,20.0
5,5,FGS,2804,0.10664534568786621,5,0.0,1.0,0.0,0.4,0.4,0.4,2.0,5.0,20.0
5,5,FGS,2145,0.1032094955444336,4,1.0,0.0,0.8,0.0,0.0,,8.0,13.0,15.0
5,5,FGS,150,0.1033165454864502,4,0.0,0.8,0.0,0.75,0.6,0.6667,2.0,3.0,12.0
5,5,FGS,8823,0.1036233901977539,4,0.5,0.4,0.4,0.25,0.2,0.2222,5.0,10.0,20.0
5,5,FGS,4669,0.10664486885070801,5,0.0,1.0,0.0,0.6,0.6,0.6,0.0,0.0,17.0
5,5,FGS,6131,0.1057283878326416,4,0.75,0.2,0.6,0.0,0.0,,6.0,10.0,16.0
5,5,FGS,2617,0.1132199764251709,4,0.5,0.4,0.4,0.5,0.4,0.4444,6.0,7.0,14.0
5,5,FGS,7166,0.10527324676513672,5,0.0,1.0,0.0,0.8,0.8,0.8,0.0,0.0,13.0
5,5,FGS,1428,0.11638236045837402,3,1.0,0.0,0.6,0.0,0.0,,7.0,13.0,14.0
5,5,FGS,8328,0.10281586647033691,3,0.6667,0.2,0.4,0.3333,0.2,0.25,6.0,9.0,15.0
5,5,FGS,8289,0.10437846183776855,4,0.5,0.4,0.4,0.5,0.4,0.4444,5.0,9.0,17.0
5,5,FGS,5978,0.12592339515686035,5,0.4,0.6,0.4,0.4,0.4,0.4,5.0,3.0,15.0
5,5,FGS,5511,0.10538196563720703,5,0.6,0.4,0.6,0.4,0.4,0.4,6.0,5.0,12.0
5,5,FGS,5864,0.10303711891174316,4,0.5,0.4,0.4,0.25,0.2,0.2222,6.0,5.0,12.0
5,5,FGS,606,0.10322070121765137,4,0.75,0.2,0.6,0.25,0.2,0.2222,7.0,10.0,12.0
